"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ABANCAY (000)",31552,21015,4072,2060,4405
"Agric., ganadería, caza y silvicultura (001)",9614,7750,1728,118,18
"Pesca (002)",11,10,1,,
"Explotación de minas y canteras (003)",134,38,23,27,46
"Industrias manufactureras (004)",1191,1001,139,40,11
"Suministro de electricidad, gas y agua (005)",86,7,4,52,23
"Construcción (006)",2163,1396,419,266,82
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",5312,4947,271,84,10
"Venta, mant.y rep. veh.autom y motoc. (008)",409,355,47,4,3
"Comercio al por mayor (009)",228,160,27,34,7
"Comercio al por menor (010)",4675,4432,197,46,
"Hoteles y restaurantes (011)",1566,1331,191,33,11
"Trans., almac. y comunicaciones (012)",1679,1438,108,88,45
"Intermediación financiera (013)",161,25,27,71,38
"Activid.inmobil., empres. y alquileres (014)",950,571,112,128,139
"Admin.pub. y defensa; p. segur soc.afil (015)",1985,,,,1985
"Enseñanza (016)",3264,479,736,962,1087
"Servicios sociales y de salud (017)",1141,217,61,55,808
"Otras activ. serv.comun.soc y personales (018)",724,456,150,74,44
"Hogares privados con servicio doméstico (019)",781,781,,,
"Organiz. y organos extraterritoriales (020)",1,,1,,
"Actividad economica no especificada (021)",789,568,101,62,58
"Hombres (022)",20119,13234,3034,1285,2566
"Agric., ganadería, caza y silvicultura (023)",8174,6532,1532,94,16
"Pesca (024)",9,8,1,,
"Explotación de minas y canteras (025)",124,37,21,24,42
"Industrias manufactureras (026)",907,770,106,25,6
"Suministro de electricidad, gas y agua (027)",74,6,4,45,19
"Construcción (028)",2098,1372,414,245,67
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",2008,1781,157,62,8
"Venta, mant.y rep. veh.autom y motoc. (030)",364,318,40,4,2
"Comercio al por mayor (031)",140,87,20,27,6
"Comercio al por menor (032)",1504,1376,97,31,
"Hoteles y restaurantes (033)",346,258,71,10,7
"Trans., almac. y comunicaciones (034)",1475,1289,88,65,33
"Intermediación financiera (035)",87,14,12,41,20
"Activid.inmobil., empres. y alquileres (036)",698,412,81,100,105
"Admin.pub. y defensa; p. segur soc.afil (037)",1324,,,,1324
"Enseñanza (038)",1561,160,372,474,555
"Servicios sociales y de salud (039)",422,74,19,24,305
