"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUALGAYOC (000)",23760,22573,87,5340,4262,3178,4452,3043,1606,605,1187,82698
"De 12 a 14 años (001)",36,13,2,9,2,,,,,,23,13
"De 15 a 19 años (002)",734,596,6,540,40,5,5,,,,138,655
"De 20 a 24 años (003)",2727,2319,14,1632,566,84,15,8,,,408,3134
"De 25 a 29 años (004)",3145,2878,9,1320,991,413,136,8,1,,267,5174
"De 30 a 34 años (005)",2946,2805,7,683,974,651,412,64,11,3,141,6859
"De 35 a 39 años (006)",2784,2714,7,374,641,654,771,225,34,8,70,8775
"De 40 a 44 años (007)",2334,2289,7,199,328,456,767,378,122,32,45,9406
"De 45 a 49 años (008)",1943,1917,8,144,216,275,616,406,188,64,26,9007
"De 50 y más años (009)",7111,7042,27,439,504,640,1730,1954,1250,498,69,39675
"PEA (010)",14877,14216,49,3520,2749,2027,2795,1845,921,310,661,50423
"De 12 a 14 años (011)",8,7,1,4,2,,,,,,1,8
"De 15 a 19 años (012)",418,351,2,324,23,,2,,,,67,378
"De 20 a 24 años (013)",1780,1541,9,1092,379,47,9,5,,,239,2061
"De 25 a 29 años (014)",2121,1944,6,896,659,285,95,3,,,177,3490
"De 30 a 34 años (015)",2017,1926,6,472,650,453,292,45,7,1,91,4722
"De 35 a 39 años (016)",1835,1794,7,261,409,426,514,147,24,6,41,5802
"De 40 a 44 años (017)",1540,1521,2,128,219,300,505,264,82,21,19,6320
"De 45 a 49 años (018)",1270,1256,5,101,135,176,407,264,128,40,14,5903
"De 50 y más años (019)",3888,3876,11,242,273,340,971,1117,680,242,12,21739
"Ocupada (020)",14771,14131,49,3493,2728,2009,2783,1840,920,309,640,50198
