"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia LA CONVENCION (000)",120544,19184,23394,25254,21234,14591,16887
"Católica (001)",94865,14808,18126,19781,16790,11645,13715
"Cristiana/Evangélica (002)",20784,3615,4125,4332,3634,2431,2647
"Otra (003)",2418,327,483,544,416,317,331
"Ninguna (004)",2477,434,660,597,394,198,194
"Hombres (006)",64639,10001,12548,13338,11266,8021,9465
"Católica (007)",51485,7830,9854,10567,9032,6479,7723
"Cristiana/Evangélica (008)",10314,1780,2018,2091,1773,1234,1418
"Otra (009)",1278,146,263,297,210,166,196
"Ninguna (010)",1562,245,413,383,251,142,128
"Mujeres (012)",55905,9183,10846,11916,9968,6570,7422
"Católica (013)",43380,6978,8272,9214,7758,5166,5992
"Cristiana/Evangélica (014)",10470,1835,2107,2241,1861,1197,1229
"Otra (015)",1140,181,220,247,206,151,135
"Ninguna (016)",915,189,247,214,143,56,66
,,,,,,,
"URBANA (018)",37564,6487,7387,8180,6907,4334,4269
"Católica (019)",30685,5199,5897,6729,5777,3534,3549
"Cristiana/Evangélica (020)",4907,948,1032,955,821,581,570
"Otra (021)",1087,175,231,271,164,143,103
"Ninguna (022)",885,165,227,225,145,76,47
"Hombres (024)",18837,3224,3698,3946,3437,2269,2263
"Católica (025)",15402,2606,2917,3237,2909,1868,1865
"Cristiana/Evangélica (026)",2266,436,505,405,343,277,300
"Otra (027)",562,75,125,149,87,65,61
"Ninguna (028)",607,107,151,155,98,59,37
"Mujeres (030)",18727,3263,3689,4234,3470,2065,2006
"Católica (031)",15283,2593,2980,3492,2868,1666,1684
"Cristiana/Evangélica (032)",2641,512,527,550,478,304,270
"Otra (033)",525,100,106,122,77,78,42
"Ninguna (034)",278,58,76,70,47,17,10
,,,,,,,
"RURAL (036)",82980,12697,16007,17074,14327,10257,12618
"Católica (037)",64180,9609,12229,13052,11013,8111,10166
"Cristiana/Evangélica (038)",15877,2667,3093,3377,2813,1850,2077
"Otra (039)",1331,152,252,273,252,174,228
"Ninguna (040)",1592,269,433,372,249,122,147
"Hombres (042)",45802,6777,8850,9392,7829,5752,7202
"Católica (043)",36083,5224,6937,7330,6123,4611,5858
"Cristiana/Evangélica (044)",8048,1344,1513,1686,1430,957,1118
"Otra (045)",716,71,138,148,123,101,135
"Ninguna (046)",955,138,262,228,153,83,91
"Mujeres (048)",37178,5920,7157,7682,6498,4505,5416
"Católica (049)",28097,4385,5292,5722,4890,3500,4308
"Cristiana/Evangélica (050)",7829,1323,1580,1691,1383,893,959
"Otra (051)",615,81,114,125,129,73,93
"Ninguna (052)",637,131,171,144,96,39,56
