"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia SANTIAGO DE CHUCO (000)",51724,11095,1188,26286,9028,1284,1605,367,871
"Jefe o Jefa (001)",13241,2554,7,7074,2006,366,658,153,423
"Esposa(o)/ compa¤era(o) (002)",8666,2582,8,4422,978,178,280,49,169
"Hijo(a)/ hijastro(a) (003)",22888,4195,941,11648,4828,562,445,119,150
"Yerno/ nuera (004)",572,48,1,274,161,24,47,7,10
"Nieto(a) (005)",2629,676,171,1328,387,37,18,6,6
"Padres/ suegros (006)",662,450,,194,10,5,,1,2
"Otro(a) pariente (007)",2533,519,59,1181,528,84,93,20,49
"Trabajador(a) del hogar (008)",44,8,,26,9,1,,,
"Pensionista (009)",45,1,,5,11,2,14,5,7
"Otro(a) no pariente (010)",444,62,1,134,110,25,50,7,55
"Hombres (012)",25485,3899,586,13449,5272,687,903,199,490
"Jefe o Jefa (013)",9903,1226,6,5765,1654,287,521,121,323
"Esposa(o)/ compa¤era(o) (014)",386,23,2,210,92,18,17,2,22
"Hijo(a)/ hijastro(a) (015)",11879,2006,459,5924,2837,288,246,50,69
"Yerno/ nuera (016)",252,14,1,118,70,10,29,5,5
"Nieto(a) (017)",1325,334,91,644,224,18,10,4,
"Padres/ suegros (018)",170,62,,98,5,2,,1,2
"Otro(a) pariente (019)",1313,205,27,618,325,51,48,9,30
"Trabajador(a) del hogar (020)",3,3,,,,,,,
"Pensionista (021)",30,,,3,10,1,10,3,3
"Otro(a) no pariente (022)",224,26,,69,55,12,22,4,36
"Mujeres (024)",26239,7196,602,12837,3756,597,702,168,381
"Jefe o Jefa (025)",3338,1328,1,1309,352,79,137,32,100
"Esposa(o)/ compa¤era(o) (026)",8280,2559,6,4212,886,160,263,47,147
"Hijo(a)/ hijastro(a) (027)",11009,2189,482,5724,1991,274,199,69,81
"Yerno/ nuera (028)",320,34,,156,91,14,18,2,5
"Nieto(a) (029)",1304,342,80,684,163,19,8,2,6
"Padres/ suegros (030)",492,388,,96,5,3,,,
"Otro(a) pariente (031)",1220,314,32,563,203,33,45,11,19
"Trabajador(a) del hogar (032)",41,5,,26,9,1,,,
"Pensionista (033)",15,1,,2,1,1,4,2,4
"Otro(a) no pariente (034)",220,36,1,65,55,13,28,3,19
,,,,,,,,,
"URBANA (036)",18395,2773,513,6828,4818,1010,1379,306,768
"Jefe o Jefa (037)",4899,627,3,1727,1157,311,571,127,376
"Esposa(o)/ compa¤era(o) (038)",2927,557,2,1102,653,151,256,43,163
"Hijo(a)/ hijastro(a) (039)",7695,1059,408,2959,2285,400,365,97,122
"Yerno/ nuera (040)",232,10,1,59,89,19,39,5,10
"Nieto(a) (041)",903,209,73,375,193,27,15,6,5
"Padres/ suegros (042)",254,138,,99,9,5,,1,2
"Otro(a) pariente (043)",1133,142,26,413,339,72,82,16,43
"Trabajador(a) del hogar (044)",36,5,,21,9,1,,,
"Pensionista (045)",32,1,,,10,2,8,5,6
"Otro(a) no pariente (046)",284,25,,73,74,22,43,6,41
