"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia DOS DE MAYO (000)",12132,10082,759,244,1047
"Empleado (001)",1417,192,120,128,977
"Obrero (002)",2992,2525,303,102,62
"Trabajador independiente (003)",5083,4931,152,,
"Empleador o patrono (004)",323,262,47,8,6
"Trabajador familiar no remunerado (005)",2152,2007,137,6,2
"Trabajador del hogar (006)",165,165,,,
"De 06 a 14 años (008)",255,221,33,1,
"Empleado (009)",4,4,,,
"Obrero (010)",39,33,6,,
"Trabajador independiente (011)",6,6,,,
"Trabajador familiar no remunerado (013)",200,172,27,1,
"Trabajador del hogar (014)",6,6,,,
"De 15 a 29 años (016)",3632,3069,240,87,236
"Empleado (017)",327,67,24,34,202
"Obrero (018)",1109,923,110,48,28
"Trabajador independiente (019)",1126,1083,43,,
"Empleador o patrono (020)",53,41,5,2,5
"Trabajador familiar no remunerado (021)",926,864,58,3,1
"Trabajador del hogar (022)",91,91,,,
"De 30 a 44 años (024)",4051,3127,262,107,555
"Empleado (025)",731,75,62,68,526
"Obrero (026)",918,752,105,34,27
"Trabajador independiente (027)",1761,1709,52,,
"Empleador o patrono (028)",120,97,18,4,1
"Trabajador familiar no remunerado (029)",485,458,25,1,1
"Trabajador del hogar (030)",36,36,,,
"De 45 a 64 años (032)",3134,2665,175,46,248
"Empleado (033)",341,44,31,25,241
"Obrero (034)",696,606,65,18,7
"Trabajador independiente (035)",1568,1530,38,,
"Empleador o patrono (036)",107,86,19,2,
"Trabajador familiar no remunerado (037)",397,374,22,1,
"Trabajador del hogar (038)",25,25,,,
"De 65 y más años (040)",1060,1000,49,3,8
"Empleado (041)",14,2,3,1,8
"Obrero (042)",230,211,17,2,
"Trabajador independiente (043)",622,603,19,,
"Empleador o patrono (044)",43,38,5,,
"Trabajador familiar no remunerado (045)",144,139,5,,
"Trabajador del hogar (046)",7,7,,,
,,,,,
"URBANA (048)",4626,3255,251,186,934
"Empleado (049)",1204,135,82,109,878
"Obrero (050)",754,556,79,70,49
"Trabajador independiente (051)",2086,2019,67,,
"Empleador o patrono (052)",50,35,4,5,6
"Trabajador familiar no remunerado (053)",426,404,19,2,1
"Trabajador del hogar (054)",106,106,,,
"De 06 a 14 años (056)",47,40,6,1,
"Empleado (057)",3,3,,,
