"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia SAN PABLO (000)",21430,4365,415,11248,4126,337,640,76,223
"Jefe o Jefa (001)",5850,1114,,3308,930,96,255,29,118
"Esposa(o)/ compa¤era(o) (002)",3919,1214,5,2027,461,35,137,7,33
"Hijo(a)/ hijastro(a) (003)",8914,1336,321,4639,2244,128,173,25,48
"Yerno/ nuera (004)",372,35,,174,113,15,27,4,4
"Nieto(a) (005)",1134,273,77,570,189,14,7,2,2
"Padres/ suegros (006)",254,187,,61,3,1,1,,1
"Otro(a) pariente (007)",807,177,12,409,152,26,18,4,9
"Trabajador(a) del hogar (008)",18,6,,9,3,,,,
"Pensionista (009)",6,1,,,3,,,1,1
"Otro(a) no pariente (010)",156,22,,51,28,22,22,4,7
"Hombres (012)",10396,1373,172,5621,2487,193,345,50,155
"Jefe o Jefa (013)",4384,475,,2677,817,72,210,26,107
"Esposa(o)/ compa¤era(o) (014)",168,19,1,87,37,5,10,3,6
"Hijo(a)/ hijastro(a) (015)",4591,639,131,2259,1352,79,85,14,32
"Yerno/ nuera (016)",147,6,,65,50,9,14,2,1
"Nieto(a) (017)",579,143,36,274,115,5,4,1,1
"Padres/ suegros (018)",46,17,,28,,1,,,
"Otro(a) pariente (019)",397,66,4,201,97,12,11,1,5
"Trabajador(a) del hogar (020)",3,1,,2,,,,,
"Pensionista (021)",3,,,,3,,,,
"Otro(a) no pariente (022)",78,7,,28,16,10,11,3,3
"Mujeres (024)",11034,2992,243,5627,1639,144,295,26,68
"Jefe o Jefa (025)",1466,639,,631,113,24,45,3,11
"Esposa(o)/ compa¤era(o) (026)",3751,1195,4,1940,424,30,127,4,27
"Hijo(a)/ hijastro(a) (027)",4323,697,190,2380,892,49,88,11,16
"Yerno/ nuera (028)",225,29,,109,63,6,13,2,3
"Nieto(a) (029)",555,130,41,296,74,9,3,1,1
"Padres/ suegros (030)",208,170,,33,3,,1,,1
"Otro(a) pariente (031)",410,111,8,208,55,14,7,3,4
"Trabajador(a) del hogar (032)",15,5,,7,3,,,,
"Pensionista (033)",3,1,,,,,,1,1
"Otro(a) no pariente (034)",78,15,,23,12,12,11,1,4
,,,,,,,,,
"URBANA (036)",3318,372,74,1120,928,186,442,43,153
"Jefe o Jefa (037)",1000,85,,328,249,58,177,16,87
"Esposa(o)/ compa¤era(o) (038)",598,59,,204,157,28,117,5,28
"Hijo(a)/ hijastro(a) (039)",1263,156,60,443,418,48,101,13,24
"Yerno/ nuera (040)",51,2,,9,15,7,14,2,2
"Nieto(a) (041)",135,32,12,52,25,9,2,2,1
"Padres/ suegros (042)",39,20,,18,,,,,1
"Otro(a) pariente (043)",144,11,2,49,49,17,12,1,3
"Trabajador(a) del hogar (044)",9,3,,3,3,,,,
"Pensionista (045)",3,,,,1,,,1,1
"Otro(a) no pariente (046)",76,4,,14,11,19,19,3,6
"Hombres (048)",1596,120,34,509,492,92,223,27,99
"Jefe o Jefa (049)",699,25,,197,199,40,144,15,79
