"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia SAN PABLO (000)",6208,105,2575,2077,577,222,100,24,2,,526
"Catolica (001)",4212,69,1723,1415,397,159,63,20,1,,365
"Cristiana / Evangelica (002)",1247,24,511,425,112,44,24,2,1,,104
"Otra (003)",453,5,194,153,41,13,9,2,,,36
"Ninguna (004)",296,7,147,84,27,6,4,,,,21
,,,,,,,,,,,
"URBANA (006)",1004,8,319,350,131,61,25,11,1,,98
"Catolica (007)",835,7,267,295,112,50,20,8,1,,75
"Cristiana / Evangelica (008)",83,,32,26,7,2,2,2,,,12
"Otra (009)",70,1,17,24,10,8,2,1,,,7
"Ninguna (010)",16,,3,5,2,1,1,,,,4
,,,,,,,,,,,
"RURAL (012)",5204,97,2256,1727,446,161,75,13,1,,428
"Catolica (013)",3377,62,1456,1120,285,109,43,12,,,290
"Cristiana / Evangelica (014)",1164,24,479,399,105,42,22,,1,,92
"Otra (015)",383,4,177,129,31,5,7,1,,,29
"Ninguna (016)",280,7,144,79,25,5,3,,,,17
