"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia AYMARAES (000)",257,7,113,75,48,14
"Conviviente (001)",82,,37,35,9,1
"Separado(a) (002)",5,,1,1,2,1
"Casado(a) (003)",77,,6,26,35,10
"Viudo(a) (004)",3,,,,1,2
"Soltero(a) (006)",90,7,69,13,1,
"Hombres (008)",196,3,84,60,37,12
"Conviviente (009)",63,,25,30,7,1
"Separado(a) (010)",3,,,,2,1
"Casado(a) (011)",63,,5,22,27,9
"Viudo(a) (012)",1,,,,,1
"Soltero(a) (014)",66,3,54,8,1,
"Mujeres (016)",61,4,29,15,11,2
"Conviviente (017)",19,,12,5,2,
"Separado(a) (018)",2,,1,1,,
"Casado(a) (019)",14,,1,4,8,1
"Viudo(a) (020)",2,,,,1,1
"Soltero(a) (022)",24,4,15,5,,
,,,,,,
"AREA URBANA (024)",138,2,55,49,28,4
"Conviviente (025)",47,,17,25,5,
"Separado(a) (026)",3,,1,,2,
"Casado(a) (027)",41,,4,14,19,4
"Viudo(a) (028)",1,,,,1,
"Soltero(a) (030)",46,2,33,10,1,
"Hombres (032)",103,,39,37,24,3
"Conviviente (033)",33,,9,20,4,
"Separado(a) (034)",2,,,,2,
"Casado(a) (035)",34,,3,11,17,3
"Soltero(a) (038)",34,,27,6,1,
"Mujeres (040)",35,2,16,12,4,1
"Conviviente (041)",14,,8,5,1,
"Separado(a) (042)",1,,1,,,
"Casado(a) (043)",7,,1,3,2,1
"Viudo(a) (044)",1,,,,1,
"Soltero(a) (046)",12,2,6,4,,
,,,,,,
"AREA RURAL (048)",119,5,58,26,20,10
"Conviviente (049)",35,,20,10,4,1
"Separado(a) (050)",2,,,1,,1
"Casado(a) (051)",36,,2,12,16,6
"Viudo(a) (052)",2,,,,,2
"Soltero(a) (054)",44,5,36,3,,
"Hombres (056)",93,3,45,23,13,9
"Conviviente (057)",30,,16,10,3,1
"Separado(a) (058)",1,,,,,1
"Casado(a) (059)",29,,2,11,10,6
"Viudo(a) (060)",1,,,,,1
"Soltero(a) (062)",32,3,27,2,,
"Mujeres (064)",26,2,13,3,7,1
"Conviviente (065)",5,,4,,1,
"Separado(a) (066)",1,,,1,,
"Casado(a) (067)",7,,,1,6,
"Viudo(a) (068)",1,,,,,1
"Soltero(a) (070)",12,2,9,1,,
