"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CANGALLO (000)",30041,5577,436,15092,7209,448,679,174,426
"Hombres (001)",14282,1121,215,7372,4501,292,366,127,288
"Mujeres (002)",15759,4456,221,7720,2708,156,313,47,138
"PEA (003)",9924,1436,17,4408,2879,217,519,86,362
"Hombres (004)",6477,476,6,2919,2291,163,309,67,246
"Mujeres (005)",3447,960,11,1489,588,54,210,19,116
"Ocupada (006)",9509,1413,17,4231,2708,211,490,84,355
"Hombres (007)",6127,457,6,2773,2137,159,290,66,239
"Mujeres (008)",3382,956,11,1458,571,52,200,18,116
"Desocupada (009)",415,23,,177,171,6,29,2,7
"Hombres (010)",350,19,,146,154,4,19,1,7
"Mujeres (011)",65,4,,31,17,2,10,1,
"No PEA (012)",20117,4141,419,10684,4330,231,160,88,64
"Hombres (013)",7805,645,209,4453,2210,129,57,60,42
"Mujeres (014)",12312,3496,210,6231,2120,102,103,28,22
,,,,,,,,,
"URBANA (018)",10545,1489,144,4713,2944,289,490,133,343
"Hombres (019)",5063,250,77,2276,1719,179,245,95,222
"Mujeres (020)",5482,1239,67,2437,1225,110,245,38,121
"PEA (021)",3734,369,3,1321,1151,145,382,67,296
"Hombres (022)",2413,112,1,888,853,102,213,51,193
"Mujeres (023)",1321,257,2,433,298,43,169,16,103
"Ocupada (024)",3608,364,3,1277,1098,142,365,66,293
"Hombres (025)",2319,108,1,854,811,101,203,51,190
"Mujeres (026)",1289,256,2,423,287,41,162,15,103
"Desocupada (027)",126,5,,44,53,3,17,1,3
"Hombres (028)",94,4,,34,42,1,10,,3
"Mujeres (029)",32,1,,10,11,2,7,1,
"No PEA (030)",6811,1120,141,3392,1793,144,108,66,47
"Hombres (031)",2650,138,76,1388,866,77,32,44,29
"Mujeres (032)",4161,982,65,2004,927,67,76,22,18
,,,,,,,,,
"RURAL (036)",19496,4088,292,10379,4265,159,189,41,83
"Hombres (037)",9219,871,138,5096,2782,113,121,32,66
"Mujeres (038)",10277,3217,154,5283,1483,46,68,9,17
"PEA (039)",6190,1067,14,3087,1728,72,137,19,66
"Hombres (040)",4064,364,5,2031,1438,61,96,16,53
"Mujeres (041)",2126,703,9,1056,290,11,41,3,13
"Ocupada (042)",5901,1049,14,2954,1610,69,125,18,62
"Hombres (043)",3808,349,5,1919,1326,58,87,15,49
"Mujeres (044)",2093,700,9,1035,284,11,38,3,13
"Desocupada (045)",289,18,,133,118,3,12,1,4
"Hombres (046)",256,15,,112,112,3,9,1,4
"Mujeres (047)",33,3,,21,6,,3,,
"No PEA (048)",13306,3021,278,7292,2537,87,52,22,17
"Hombres (049)",5155,507,133,3065,1344,52,25,16,13
"Mujeres (050)",8151,2514,145,4227,1193,35,27,6,4
