"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia MARISCAL RAMON CASTILLA (000)",1010,344,666
"De 14 a 29 años (001)",631,271,360
"De 30 a 44 años (002)",243,61,182
"De 45 a 64 años (003)",111,12,99
"De 65 y más años (004)",25,,25
"Hombres (005)",811,246,565
"De 14 a 29 años (006)",488,193,295
"De 30 a 44 años (007)",200,44,156
"De 45 a 64 años (008)",101,9,92
"De 65 y más años (009)",22,,22
"Mujeres (010)",199,98,101
"De 14 a 29 años (011)",143,78,65
"De 30 a 44 años (012)",43,17,26
"De 45 a 64 años (013)",10,3,7
"De 65 y más años (014)",3,,3
,,,
"AREA URBANA (015)",497,159,338
"De 14 a 29 años (016)",306,121,185
"De 30 a 44 años (017)",119,31,88
"De 45 a 64 años (018)",61,7,54
"De 65 y más años (019)",11,,11
"Hombres (020)",382,110,272
"De 14 a 29 años (021)",228,84,144
"De 30 a 44 años (022)",93,22,71
"De 45 a 64 años (023)",52,4,48
"De 65 y más años (024)",9,,9
"Mujeres (025)",115,49,66
"De 14 a 29 años (026)",78,37,41
"De 30 a 44 años (027)",26,9,17
"De 45 a 64 años (028)",9,3,6
"De 65 y más años (029)",2,,2
,,,
"AREA RURAL (030)",513,185,328
"De 14 a 29 años (031)",325,150,175
"De 30 a 44 años (032)",124,30,94
"De 45 a 64 años (033)",50,5,45
"De 65 y más años (034)",14,,14
"Hombres (035)",429,136,293
"De 14 a 29 años (036)",260,109,151
"De 30 a 44 años (037)",107,22,85
"De 45 a 64 años (038)",49,5,44
"De 65 y más años (039)",13,,13
"Mujeres (040)",84,49,35
"De 14 a 29 años (041)",65,41,24
"De 30 a 44 años (042)",17,8,9
"De 45 a 64 años (043)",1,,1
"De 65 y más años (044)",1,,1
