"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia AIJA (000)",2110,1438,672
"Red pública de desague dentro de la vivienda (001)",410,387,23
"Red pública de desague fuera de la vivienda (002)",85,78,7
"Pozo séptico (003)",64,57,7
"Pozo ciego o negro / letrina (004)",401,302,99
"Río, acequia o canal (005)",2,2,
"No tiene (006)",1148,612,536
,,,
"URBANA (008)",723,608,115
"Red pública de desague dentro de la vivienda (009)",363,341,22
"Red pública de desague fuera de la vivienda (010)",64,59,5
"Pozo séptico (011)",23,22,1
"Pozo ciego o negro / letrina (012)",27,22,5
"Río, acequia o canal (013)",1,1,
"No tiene (014)",245,163,82
,,,
"RURAL (016)",1387,830,557
"Red pública de desague dentro de la vivienda (017)",47,46,1
"Red pública de desague fuera de la vivienda (018)",21,19,2
"Pozo séptico (019)",41,35,6
"Pozo ciego o negro / letrina (020)",374,280,94
"Río, acequia o canal (021)",1,1,
"No tiene (022)",903,449,454
