"CUADRO Nº 8: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA",,,,,,
,,TIERRA,CEMENTO,"LOSETAS, TERRAZOS, CERÁMICOS O SIMILARES","PARQUET O MADERA PULIDA","MADERA (PONA, TOR-NILLO, ETC.)","LÁMINAS ASFÁL-TICAS, VINÍLICOS O SIMILARES","OTRO MATERIAL"
,,,,,,,,
"Provincia LIMA",,,,,,,,
"Viviendas particulares (001)",1718091,234663,878373,345715,210190,17280,23159,8711
"Ocupantes presentes (002)",7531233,978087,4053991,1514312,797525,60845,88513,37960
"Casa independiente",,,,,,,,
"Viviendas particulares (004)",1339965,205644,742150,254219,111834,8146,9781,8191
"Ocupantes presentes (005)",6224018,877378,3568061,1194283,474005,31789,42415,36087
"Departamento en edificio",,,,,,,,
"Viviendas particulares (007)",254999,,73475,73159,91927,3819,12619,
"Ocupantes presentes (008)",865168,,256550,253363,300034,11769,43452,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (010)",56726,,32008,14956,5615,3533,614,
"Ocupantes presentes (011)",205882,,116432,54877,20663,11731,2179,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (013)",23261,2441,15817,2641,745,1387,125,105
"Ocupantes presentes (014)",85595,10081,58248,9681,2609,4227,400,349
"Choza o cabaña",,,,,,,,
"Viviendas particulares (016)",177,166,11,,,,,
"Ocupantes presentes (017)",500,472,28,,,,,
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (019)",32998,22392,10034,,,210,,362
"Ocupantes presentes (020)",118837,77584,39204,,,719,,1330
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (022)",4286,806,2587,740,69,31,20,33
"Ocupantes presentes (023)",13080,2488,8011,2108,214,67,67,125
"Otro tipo",,,,,,,,
"Viviendas particulares (025)",5679,3214,2291,,,154,,20
"Ocupantes presentes (026)",18153,10084,7457,,,543,,69
,,,,,,,,
URBANA,,,,,,,,
"Viviendas particulares (028)",1715402,233207,877205,345667,210186,17273,23157,8707
"Ocupantes presentes (029)",7521549,973055,4049591,1514113,797502,60828,88508,37952
"Casa independiente",,,,,,,,
"Viviendas particulares (031)",1337470,204361,741003,254171,111830,8139,9779,8187
"Ocupantes presentes (032)",6214886,872843,3563716,1194084,473982,31772,42410,36079
"Departamento en edificio",,,,,,,,
"Viviendas particulares (034)",254999,,73475,73159,91927,3819,12619,
"Ocupantes presentes (035)",865168,,256550,253363,300034,11769,43452,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (037)",56726,,32008,14956,5615,3533,614,
"Ocupantes presentes (038)",205882,,116432,54877,20663,11731,2179,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (040)",23261,2441,15817,2641,745,1387,125,105
"Ocupantes presentes (041)",85595,10081,58248,9681,2609,4227,400,349
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (046)",32998,22392,10034,,,210,,362
"Ocupantes presentes (047)",118837,77584,39204,,,719,,1330
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (049)",4271,801,2577,740,69,31,20,33
"Ocupantes presentes (050)",13030,2465,7984,2108,214,67,67,125
"Otro tipo",,,,,,,,
"Viviendas particulares (052)",5677,3212,2291,,,154,,20
"Ocupantes presentes (053)",18151,10082,7457,,,543,,69
,,,,,,,,
RURAL,,,,,,,,
"Viviendas particulares (055)",2689,1456,1168,48,4,7,2,4
"Ocupantes presentes (056)",9684,5032,4400,199,23,17,5,8
"Casa independiente",,,,,,,,
"Viviendas particulares (058)",2495,1283,1147,48,4,7,2,4
"Ocupantes presentes (059)",9132,4535,4345,199,23,17,5,8
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Viviendas particulares (070)",177,166,11,,,,,
"Ocupantes presentes (071)",500,472,28,,,,,
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (076)",15,5,10,,,,,
"Ocupantes presentes (077)",50,23,27,,,,,
"Otro tipo",,,,,,,,
"Viviendas particulares (079)",2,2,,,,,,
"Ocupantes presentes (080)",2,2,,,,,,
