"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CANAS (000)",35788,18224,1174,179,16240
"Quechua (001)",32790,16888,886,141,14897
"Aymara (002)",31,14,4,1,13
"Asháninka (003)",6,4,,,2
"Otra lengua nativa (004)",11,4,1,2,4
"Castellano (005)",2910,1302,280,35,1299
"Es Sordomudo/a (007)",40,12,3,,25
"Hombres (009)",17906,8790,658,124,8358
"Quechua (010)",16226,8068,506,98,7573
"Aymara (011)",15,5,1,1,9
"Asháninka (012)",6,4,,,2
"Otra lengua nativa (013)",4,,,1,3
"Castellano (014)",1638,706,149,24,763
"Es Sordomudo/a (016)",17,7,2,,8
"Mujeres (018)",17882,9434,516,55,7882
"Quechua (019)",16564,8820,380,43,7324
"Aymara (020)",16,9,3,,4
"Otra lengua nativa (022)",7,4,1,1,1
"Castellano (023)",1272,596,131,11,536
"Es Sordomudo/a (025)",23,5,1,,17
,,,,,
"URBANA (027)",5795,1705,649,110,3336
"Quechua (028)",4179,1089,404,79,2608
"Aymara (029)",9,1,2,,6
"Asháninka (030)",2,,,,2
"Otra lengua nativa (031)",8,1,1,2,4
"Castellano (032)",1590,613,241,29,711
"Es Sordomudo/a (034)",7,1,1,,5
"Hombres (036)",2909,842,352,79,1639
"Quechua (037)",2041,530,224,59,1229
"Aymara (038)",7,1,1,,5
"Asháninka (039)",2,,,,2
"Otra lengua nativa (040)",4,,,1,3
"Castellano (041)",854,310,127,19,400
"Es Sordomudo/a (043)",1,1,,,
"Mujeres (045)",2886,863,297,31,1697
"Quechua (046)",2138,559,180,20,1379
"Aymara (047)",2,,1,,1
"Otra lengua nativa (049)",4,1,1,1,1
"Castellano (050)",736,303,114,10,311
"Es Sordomudo/a (052)",6,,1,,5
,,,,,
"RURAL (054)",29993,16519,525,69,12904
"Quechua (055)",28611,15799,482,62,12289
"Aymara (056)",22,13,2,1,7
"Asháninka (057)",4,4,,,
"Otra lengua nativa (058)",3,3,,,
"Castellano (059)",1320,689,39,6,588
"Es Sordomudo/a (061)",33,11,2,,20
"Hombres (063)",14997,7948,306,45,6719
"Quechua (064)",14185,7538,282,39,6344
"Aymara (065)",8,4,,1,4
"Asháninka (066)",4,4,,,
"Castellano (068)",784,396,22,5,363
"Es Sordomudo/a (070)",16,6,2,,8
"Mujeres (072)",14996,8571,219,24,6185
"Quechua (073)",14426,8261,200,23,5945
"Aymara (074)",14,9,2,,3
"Otra lengua nativa (076)",3,3,,,
"Castellano (077)",536,293,17,1,225
"Es Sordomudo/a (079)",17,5,,,12
