"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia SAN PABLO (000)",6208,45,185,410,747,1272,2237,1312
"De 12 a 14 años (001)",7,,,,,,2,5
"De 15 a 19 años (002)",241,,,,,,163,78
"De 20 a 24 años (003)",640,,,,,1,426,213
"De 25 a 29 años (004)",716,,,,,36,491,189
"De 30 a 34 años (005)",688,,,,,121,428,139
"De 35 a 39 años (006)",762,,,,10,237,388,127
"De 40 a 44 años (007)",607,,,,34,248,227,98
"De 45 a 49 años (008)",513,,,1,95,258,97,62
"De 50 y más años (009)",2034,45,185,409,608,371,15,401
"PEA (010)",1038,1,11,31,97,266,362,270
"De 15 a 19 años (012)",16,,,,,,11,5
"De 20 a 24 años (013)",102,,,,,,54,48
"De 25 a 29 años (014)",134,,,,,8,79,47
"De 30 a 34 años (015)",139,,,,,30,66,43
"De 35 a 39 años (016)",172,,,,4,52,84,32
"De 40 a 44 años (017)",144,,,,8,66,45,25
"De 45 a 49 años (018)",111,,,,13,58,20,20
"De 50 y más años (019)",220,1,11,31,72,52,3,50
"Ocupada (020)",990,1,11,31,95,260,353,239
"De 15 a 19 años (022)",16,,,,,,11,5
"De 20 a 24 años (023)",87,,,,,,51,36
"De 25 a 29 años (024)",123,,,,,7,78,38
"De 30 a 34 años (025)",132,,,,,29,65,38
"De 35 a 39 años (026)",169,,,,4,52,83,30
"De 40 a 44 años (027)",138,,,,8,63,43,24
"De 45 a 49 años (028)",107,,,,12,57,19,19
"De 50 y más años (029)",218,1,11,31,71,52,3,49
"Desocupada (030)",48,,,,2,6,9,31
"De 20 a 24 años (033)",15,,,,,,3,12
"De 25 a 29 años (034)",11,,,,,1,1,9
"De 30 a 34 años (035)",7,,,,,1,1,5
"De 35 a 39 años (036)",3,,,,,,1,2
"De 40 a 44 años (037)",6,,,,,3,2,1
"De 45 a 49 años (038)",4,,,,1,1,1,1
"De 50 y más años (039)",2,,,,1,,,1
"No PEA (040)",5170,44,174,379,650,1006,1875,1042
"De 12 a 14 años (041)",7,,,,,,2,5
"De 15 a 19 años (042)",225,,,,,,152,73
"De 20 a 24 años (043)",538,,,,,1,372,165
"De 25 a 29 años (044)",582,,,,,28,412,142
"De 30 a 34 años (045)",549,,,,,91,362,96
"De 35 a 39 años (046)",590,,,,6,185,304,95
"De 40 a 44 años (047)",463,,,,26,182,182,73
"De 45 a 49 años (048)",402,,,1,82,200,77,42
"De 50 y más años (049)",1814,44,174,378,536,319,12,351
,,,,,,,,
"URBANA (060)",1004,8,34,66,107,199,340,250
"De 15 a 19 años (062)",30,,,,,,25,5
