"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUAMALIES (000)",18368,16052,890,268,1158
"Empleado (001)",1667,277,143,162,1085
"Obrero (002)",5087,4477,455,89,66
"Trabajador independiente (003)",7816,7659,157,,
"Empleador o patrono (004)",468,399,63,4,2
"Trabajador familiar no remunerado (005)",2965,2875,72,13,5
"Trabajador del hogar (006)",365,365,,,
"De 06 a 14 años (008)",328,312,14,1,1
"Empleado (009)",4,4,,,
"Obrero (010)",94,86,7,,1
"Trabajador independiente (011)",8,8,,,
"Trabajador familiar no remunerado (013)",200,192,7,1,
"Trabajador del hogar (014)",22,22,,,
"De 15 a 29 años (016)",5925,5261,327,88,249
"Empleado (017)",417,115,36,34,232
"Obrero (018)",1974,1728,188,45,13
"Trabajador independiente (019)",1848,1791,57,,
"Empleador o patrono (020)",85,64,19,1,1
"Trabajador familiar no remunerado (021)",1435,1397,27,8,3
"Trabajador del hogar (022)",166,166,,,
"De 30 a 44 años (024)",6146,5095,322,121,608
"Empleado (025)",876,115,88,93,580
"Obrero (026)",1576,1388,138,23,27
"Trabajador independiente (027)",2777,2723,54,,
"Empleador o patrono (028)",168,144,22,2,
"Trabajador familiar no remunerado (029)",659,635,20,3,1
"Trabajador del hogar (030)",90,90,,,
"De 45 a 64 años (032)",4625,4094,189,55,287
"Empleado (033)",356,37,19,35,265
"Obrero (034)",1155,1008,109,18,20
"Trabajador independiente (035)",2403,2370,33,,
"Empleador o patrono (036)",153,136,15,1,1
"Trabajador familiar no remunerado (037)",490,475,13,1,1
"Trabajador del hogar (038)",68,68,,,
"De 65 y más años (040)",1344,1290,38,3,13
"Empleado (041)",14,6,,,8
"Obrero (042)",288,267,13,3,5
"Trabajador independiente (043)",780,767,13,,
"Empleador o patrono (044)",62,55,7,,
"Trabajador familiar no remunerado (045)",181,176,5,,
"Trabajador del hogar (046)",19,19,,,
,,,,,
"URBANA (048)",5290,3983,263,188,856
"Empleado (049)",1226,186,70,144,826
"Obrero (050)",1058,899,94,37,28
"Trabajador independiente (051)",2167,2108,59,,
"Empleador o patrono (052)",160,135,22,3,
"Trabajador familiar no remunerado (053)",518,494,18,4,2
"Trabajador del hogar (054)",161,161,,,
"De 06 a 14 años (056)",74,69,5,,
