"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia GRAN CHIMU (000)",22589,4346,2068,584,15615
"Conviviente (001)",8877,1265,672,177,6767
"Separado(a) (002)",745,105,57,14,570
"Casado(a) (003)",3864,457,664,189,2565
"Viudo(a) (004)",1033,94,37,20,882
"Divorciado(a) (005)",51,5,7,1,38
"Soltero(a) (006)",8019,2420,631,183,4793
"Hombres (008)",12395,2018,1381,391,8622
"Conviviente (009)",4582,487,467,125,3507
"Separado(a) (010)",281,19,38,9,216
"Casado(a) (011)",2067,213,440,126,1297
"Viudo(a) (012)",340,30,13,8,289
"Divorciado(a) (013)",32,2,5,1,24
"Soltero(a) (014)",5093,1267,418,122,3289
"Mujeres (016)",10194,2328,687,193,6993
"Conviviente (017)",4295,778,205,52,3260
"Separado(a) (018)",464,86,19,5,354
"Casado(a) (019)",1797,244,224,63,1268
"Viudo(a) (020)",693,64,24,12,593
"Divorciado(a) (021)",19,3,2,,14
"Soltero(a) (022)",2926,1153,213,61,1504
,,,,,
"URBANA (024)",5085,996,809,207,3086
"Conviviente (025)",1612,246,195,38,1134
"Separado(a) (026)",187,22,21,5,140
"Casado(a) (027)",1150,116,309,90,640
"Viudo(a) (028)",246,19,23,11,193
"Divorciado(a) (029)",14,1,1,,12
"Soltero(a) (030)",1876,592,260,63,967
"Hombres (032)",2512,430,398,124,1566
"Conviviente (033)",772,92,95,23,563
"Separado(a) (034)",60,4,8,3,46
"Casado(a) (035)",573,53,158,60,305
"Viudo(a) (036)",59,5,9,2,43
"Divorciado(a) (037)",6,,,,6
"Soltero(a) (038)",1042,276,128,36,603
"Mujeres (040)",2573,566,411,83,1520
"Conviviente (041)",840,154,100,15,571
"Separado(a) (042)",127,18,13,2,94
"Casado(a) (043)",577,63,151,30,335
"Viudo(a) (044)",187,14,14,9,150
"Divorciado(a) (045)",8,1,1,,6
"Soltero(a) (046)",834,316,132,27,364
,,,,,
"RURAL (048)",17504,3350,1259,377,12529
"Conviviente (049)",7265,1019,477,139,5633
"Separado(a) (050)",558,83,36,9,430
"Casado(a) (051)",2714,341,355,99,1925
"Viudo(a) (052)",787,75,14,9,689
"Divorciado(a) (053)",37,4,6,1,26
"Soltero(a) (054)",6143,1828,371,120,3826
"Hombres (056)",9883,1588,983,267,7056
"Conviviente (057)",3810,395,372,102,2944
"Separado(a) (058)",221,15,30,6,170
"Casado(a) (059)",1494,160,282,66,992
"Viudo(a) (060)",281,25,4,6,246
"Divorciado(a) (061)",26,2,5,1,18
"Soltero(a) (062)",4051,991,290,86,2686
"Mujeres (064)",7621,1762,276,110,5473
"Conviviente (065)",3455,624,105,37,2689
"Separado(a) (066)",337,68,6,3,260
"Casado(a) (067)",1220,181,73,33,933
"Viudo(a) (068)",506,50,10,3,443
"Divorciado(a) (069)",11,2,1,,8
"Soltero(a) (070)",2092,837,81,34,1140
