"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia SAN IGNACIO (000)",40477,129574,115817,,2875,89.4,2.2
"De 12 a 14 años (001)",5069,33,33,,8,100,24.2
"De 15 a 19 años (002)",5933,1452,1423,411,98,28.3,
"De 20 a 24 años (003)",4926,6007,5857,713,97.5,11.9,
"De 25 a 29 años (004)",4837,10831,10492,647,96.9,6,
"De 30 a 34 años (005)",3841,12597,12080,485,95.9,3.9,
"De 35 a 39 años (006)",3571,15659,14807,371,94.6,2.4,
"De 40 a 44 años (007)",2918,16122,14983,201,92.9,1.2,
"De 45 a 49 años (008)",2471,15717,14177,37,90.2,0.2,
"De 50 y más años (009)",6911,51156,41965,2,82,,
"PEA (010)",8812,28759,26157,538,91,1.9,
"De 12 a 14 años (011)",242,4,4,2,100,50,
"De 15 a 19 años (012)",942,268,266,73,99.3,27.2,
"De 20 a 24 años (013)",1212,1162,1141,110,98.2,9.5,
"De 25 a 29 años (014)",1318,2325,2281,123,98.1,5.3,
"De 30 a 34 años (015)",1031,2843,2754,111,96.9,3.9,
"De 35 a 39 años (016)",1031,3981,3796,78,95.4,2,
"De 40 a 44 años (017)",852,4052,3807,31,94,0.8,
"De 45 a 49 años (018)",708,4063,3655,10,90,0.2,
"De 50 y más años (019)",1476,10061,8453,,84,,
"Ocupada (020)",8615,28476,25911,533,91,1.9,
"De 12 a 14 años (021)",227,4,4,2,100,50,
"De 15 a 19 años (022)",895,262,260,72,99.2,27.5,
"De 20 a 24 años (023)",1160,1149,1128,109,98.2,9.5,
"De 25 a 29 años (024)",1284,2295,2252,122,98.1,5.3,
"De 30 a 34 años (025)",1020,2816,2728,109,96.9,3.9,
"De 35 a 39 años (026)",1018,3931,3753,78,95.5,2,
"De 40 a 44 años (027)",845,4016,3773,31,93.9,0.8,
"De 45 a 49 años (028)",703,4033,3626,10,89.9,0.2,
"De 50 y más años (029)",1463,9970,8387,,84.1,,
"Desocupada (030)",197,283,246,5,86.9,1.8,
"De 12 a 14 años (031)",15,,,,,,
"De 15 a 19 años (032)",47,6,6,1,100,16.7,
"De 20 a 24 años (033)",52,13,13,1,100,7.7,
"De 25 a 29 años (034)",34,30,29,1,96.7,3.3,
"De 30 a 34 años (035)",11,27,26,2,96.3,7.4,
