"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CANCHIS (000)",96224,1521,32845,23330,17627,13854,7047
"Casa independiente (001)",81856,1219,27777,19544,14785,12145,6386
"Departamento en edificio (002)",265,3,91,69,57,34,11
"Vivienda en quinta (003)",910,15,294,221,215,125,40
"Vivienda en casa de vecindad (004)",10131,219,3656,2916,2008,1001,331
"Choza o cabaña (005)",2990,64,1003,566,546,538,273
"Vivienda improvisada (006)",11,,4,1,5,1,
"Local no destinado para hab.humana (007)",51,1,19,10,9,6,6
"Otro tipo (008)",10,,1,3,2,4,
,,,,,,,
"URBANA (009)",57645,929,19651,15164,11214,7627,3060
"Casa independiente (010)",46286,692,15590,11949,8919,6460,2676
"Departamento en edificio (011)",265,3,91,69,57,34,11
"Vivienda en quinta (012)",910,15,294,221,215,125,40
"Vivienda en casa de vecindad (013)",10131,219,3656,2916,2008,1001,331
"Vivienda improvisada (015)",11,,4,1,5,1,
"Local no destinado para hab.humana (016)",34,,15,5,8,4,2
"Otro tipo (017)",8,,1,3,2,2,
,,,,,,,
"RURAL (018)",38579,592,13194,8166,6413,6227,3987
"Casa independiente (019)",35570,527,12187,7595,5866,5685,3710
"Choza o cabaña (023)",2990,64,1003,566,546,538,273
"Local no destinado para hab.humana (025)",17,1,4,5,1,2,4
"Otro tipo (026)",2,,,,,2,
