"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia UTCUBAMBA (000)",1565,366,1199
"Sin nivel (001)",88,12,76
"Educación inicial (002)",6,2,4
"Primaria (003)",697,119,578
"Secundaria (004)",596,181,415
"Superior no univ. incompleta (005)",49,6,43
"Superior no univ. completa (006)",63,26,37
"Superior univ. incompleta (007)",19,3,16
"Superior univ. completa (008)",47,17,30
"Hombres (010)",1231,235,996
"Sin nivel (011)",70,10,60
"Educación inicial (012)",5,1,4
"Primaria (013)",590,77,513
"Secundaria (014)",471,126,345
"Superior no univ. incompleta (015)",30,2,28
"Superior no univ. completa (016)",25,9,16
"Superior univ. incompleta (017)",11,2,9
"Superior univ. completa (018)",29,8,21
"Mujeres (020)",334,131,203
"Sin nivel (021)",18,2,16
"Educación inicial (022)",1,1,
"Primaria (023)",107,42,65
"Secundaria (024)",125,55,70
"Superior no univ. incompleta (025)",19,4,15
"Superior no univ. completa (026)",38,17,21
"Superior univ. incompleta (027)",8,1,7
"Superior univ. completa (028)",18,9,9
,,,
"AREA URBANA (030)",944,245,699
"Sin nivel (031)",40,5,35
"Educación inicial (032)",1,,1
"Primaria (033)",339,70,269
"Secundaria (034)",411,124,287
"Superior no univ. incompleta (035)",39,3,36
"Superior no univ. completa (036)",54,24,30
"Superior univ. incompleta (037)",17,3,14
"Superior univ. completa (038)",43,16,27
"Hombres (040)",711,153,558
"Sin nivel (041)",29,4,25
"Educación inicial (042)",1,,1
"Primaria (043)",283,45,238
"Secundaria (044)",320,87,233
"Superior no univ. incompleta (045)",25,1,24
"Superior no univ. completa (046)",19,7,12
"Superior univ. incompleta (047)",9,2,7
"Superior univ. completa (048)",25,7,18
"Mujeres (050)",233,92,141
"Sin nivel (051)",11,1,10
"Primaria (053)",56,25,31
"Secundaria (054)",91,37,54
"Superior no univ. incompleta (055)",14,2,12
"Superior no univ. completa (056)",35,17,18
"Superior univ. incompleta (057)",8,1,7
"Superior univ. completa (058)",18,9,9
,,,
"AREA RURAL (060)",621,121,500
"Sin nivel (061)",48,7,41
"Educación inicial (062)",5,2,3
"Primaria (063)",358,49,309
"Secundaria (064)",185,57,128
"Superior no univ. incompleta (065)",10,3,7
"Superior no univ. completa (066)",9,2,7
"Superior univ. incompleta (067)",2,,2
"Superior univ. completa (068)",4,1,3
"Hombres (070)",520,82,438
"Sin nivel (071)",41,6,35
"Educación inicial (072)",4,1,3
"Primaria (073)",307,32,275
"Secundaria (074)",151,39,112
"Superior no univ. incompleta (075)",5,1,4
"Superior no univ. completa (076)",6,2,4
"Superior univ. incompleta (077)",2,,2
"Superior univ. completa (078)",4,1,3
"Mujeres (080)",101,39,62
"Sin nivel (081)",7,1,6
"Educación inicial (082)",1,1,
"Primaria (083)",51,17,34
"Secundaria (084)",34,18,16
"Superior no univ. incompleta (085)",5,2,3
"Superior no univ. completa (086)",3,,3
