"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia PAUCAR DEL SARA SARA (000)",3207,10758,2137,7318,1070,3440
"Casa independiente (001)",2938,9851,2026,6974,912,2877
"Vivienda en quinta (003)",9,37,9,37,,
"Vivienda en casa de vecindad (004)",99,298,99,298,,
"Choza o cabaña (005)",157,562,,,157,562
"Vivienda improvisada (006)",1,5,1,5,,
"Local no dest.para hab. humana (007)",3,5,2,4,1,1
