"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia SANDIA (000)",19006,61326,4404,15848,14602,45478
"Casa independiente (001)",16797,56093,3933,14499,12864,41594
"Vivienda en quinta (003)",11,22,11,22,,
"Vivienda en casa de vecindad (004)",402,1142,402,1142,,
"Choza o cabaña (005)",1710,3815,,,1710,3815
"Vivienda improvisada (006)",45,156,45,156,,
"Local no dest.para hab. humana (007)",20,36,8,12,12,24
"Otro tipo (008)",21,62,5,17,16,45
