"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PAUCARTAMBO (000)",15491,14021,632,209,629
"Sin nivel (001)",3478,3357,87,11,23
"Educación inicial (002)",79,76,3,,
"Primaria (003)",8304,7820,311,49,124
"Secundaria (004)",2846,2468,165,61,152
"Superior no univ. incompleta (005)",171,100,13,9,49
"Superior no univ. completa (006)",325,105,29,31,160
"Superior univ. incompleta (007)",71,34,2,4,31
"Superior univ. completa (008)",217,61,22,44,90
"De 06 a 14 años (010)",455,441,12,2,
"Sin nivel (011)",65,62,3,,
"Educación inicial (012)",3,3,,,
"Primaria (013)",320,311,8,1,
"Secundaria (014)",67,65,1,1,
"De 15 a 29 años (020)",5248,4760,228,65,195
"Sin nivel (021)",468,451,13,1,3
"Educación inicial (022)",31,28,3,,
"Primaria (023)",2786,2665,86,11,24
"Secundaria (024)",1679,1488,104,31,56
"Superior no univ. incompleta (025)",76,51,4,4,17
"Superior no univ. completa (026)",136,51,14,9,62
"Superior univ. incompleta (027)",14,9,,2,3
"Superior univ. completa (028)",58,17,4,7,30
"De 30 a 44 años (030)",5320,4702,235,99,284
"Sin nivel (031)",1061,1015,34,3,9
"Educación inicial (032)",45,45,,,
"Primaria (033)",3087,2875,130,28,54
"Secundaria (034)",754,647,39,18,50
"Superior no univ. incompleta (035)",73,36,7,4,26
"Superior no univ. completa (036)",149,37,12,17,83
"Superior univ. incompleta (037)",35,15,1,1,18
"Superior univ. completa (038)",116,32,12,28,44
"De 45 a 64 años (040)",3517,3208,136,38,135
"Sin nivel (041)",1310,1267,29,6,8
"Primaria (043)",1771,1651,76,8,36
"Secundaria (044)",315,241,19,10,45
"Superior no univ. incompleta (045)",21,12,2,1,6
"Superior no univ. completa (046)",39,16,3,5,15
"Superior univ. incompleta (047)",20,9,1,1,9
"Superior univ. completa (048)",41,12,6,7,16
"De 65 y más años (050)",951,910,21,5,15
"Sin nivel (051)",574,562,8,1,3
"Primaria (053)",340,318,11,1,10
"Secundaria (054)",31,27,2,1,1
"Superior no univ. incompleta (055)",1,1,,,
"Superior no univ. completa (056)",1,1,,,
"Superior univ. incompleta (057)",2,1,,,1
"Superior univ. completa (058)",2,,,2,
,,,,,
"URBANA (060)",2938,2137,197,113,491
