"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia FERREÑAFE (000)",25116,23249,81,4528,4489,3802,4998,3034,1607,710,1867,87695
"De 12 a 14 años (001)",47,14,1,12,1,,,,,,33,14
"De 15 a 19 años (002)",778,648,6,562,70,5,5,,,,130,737
"De 20 a 24 años (003)",2668,2151,7,1232,643,196,66,7,,,517,3426
"De 25 a 29 años (004)",3175,2752,14,926,930,517,324,40,1,,423,5993
"De 30 a 34 años (005)",3099,2854,6,557,848,709,564,145,19,6,245,7972
"De 35 a 39 años (006)",3074,2919,7,353,687,699,779,289,91,14,155,9992
"De 40 a 44 años (007)",2684,2567,5,250,456,501,739,402,169,45,117,10398
"De 45 a 49 años (008)",2247,2174,8,176,300,383,643,379,214,71,73,9761
"De 50 y más años (009)",7344,7170,27,460,554,792,1878,1772,1113,574,174,39402
"PEA (010)",6070,5339,21,1223,1155,977,1052,554,257,100,731,17913
"De 12 a 14 años (011)",6,2,1,1,,,,,,,4,1
"De 15 a 19 años (012)",88,76,2,64,9,,1,,,,12,86
"De 20 a 24 años (013)",541,359,3,203,99,40,14,,,,182,580
"De 25 a 29 años (014)",831,616,5,278,172,93,62,5,1,,215,1215
"De 30 a 34 años (015)",902,768,1,203,235,159,129,33,7,1,134,1987
"De 35 a 39 años (016)",961,887,2,159,235,221,191,55,22,2,74,2700
"De 40 a 44 años (017)",799,755,,108,161,167,176,91,43,9,44,2739
"De 45 a 49 años (018)",650,616,3,82,114,127,147,83,43,17,34,2407
"De 50 y más años (019)",1292,1260,4,125,130,170,332,287,141,71,32,6198
"Ocupada (020)",5799,5159,20,1149,1113,947,1030,546,255,99,640,17483
"De 12 a 14 años (021)",6,2,1,1,,,,,,,4,1
