"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia TAHUAMANU (000)",8444,1006,1562,2208,1720,1063,885
"Conviviente (001)",3308,50,569,1233,867,383,206
"Separado(a) (002)",322,1,28,64,91,63,75
"Casado(a) (003)",1701,,54,302,500,444,401
"Viudo(a) (004)",182,,,8,12,29,133
"Divorciado(a) (005)",44,,1,5,5,22,11
"Soltero(a) (006)",2887,955,910,596,245,122,59
"Hombres (008)",5293,512,870,1426,1145,749,591
"Conviviente (009)",1903,10,186,737,558,277,135
"Separado(a) (010)",193,,10,38,47,44,54
"Casado(a) (011)",1070,,16,170,321,292,271
"Viudo(a) (012)",88,,,3,5,12,68
"Divorciado(a) (013)",31,,1,3,4,15,8
"Soltero(a) (014)",2008,502,657,475,210,109,55
"Mujeres (016)",3151,494,692,782,575,314,294
"Conviviente (017)",1405,40,383,496,309,106,71
"Separado(a) (018)",129,1,18,26,44,19,21
"Casado(a) (019)",631,,38,132,179,152,130
"Viudo(a) (020)",94,,,5,7,17,65
"Divorciado(a) (021)",13,,,2,1,7,3
"Soltero(a) (022)",879,453,253,121,35,13,4
,,,,,,,
"URBANA (024)",5968,713,1170,1641,1215,684,545
"Conviviente (025)",2419,28,434,950,635,250,122
"Separado(a) (026)",223,,22,44,68,45,44
"Casado(a) (027)",1091,,24,194,337,280,256
"Viudo(a) (028)",116,,,7,9,17,83
"Divorciado(a) (029)",34,,1,5,3,18,7
"Soltero(a) (030)",2085,685,689,441,163,74,33
"Hombres (032)",3632,348,625,1041,791,472,355
"Conviviente (033)",1355,8,136,561,397,176,77
"Separado(a) (034)",127,,7,27,33,30,30
"Casado(a) (035)",689,,6,105,220,185,173
"Viudo(a) (036)",52,,,3,4,6,39
"Divorciado(a) (037)",24,,1,3,2,13,5
"Soltero(a) (038)",1385,340,475,342,135,62,31
"Mujeres (040)",2336,365,545,600,424,212,190
"Conviviente (041)",1064,20,298,389,238,74,45
"Separado(a) (042)",96,,15,17,35,15,14
"Casado(a) (043)",402,,18,89,117,95,83
"Viudo(a) (044)",64,,,4,5,11,44
"Divorciado(a) (045)",10,,,2,1,5,2
"Soltero(a) (046)",700,345,214,99,28,12,2
,,,,,,,
"RURAL (048)",2476,293,392,567,505,379,340
"Conviviente (049)",889,22,135,283,232,133,84
"Separado(a) (050)",99,1,6,20,23,18,31
"Casado(a) (051)",610,,30,108,163,164,145
"Viudo(a) (052)",66,,,1,3,12,50
"Divorciado(a) (053)",10,,,,2,4,4
"Soltero(a) (054)",802,270,221,155,82,48,26
"Hombres (056)",1661,164,245,385,354,277,236
"Conviviente (057)",548,2,50,176,161,101,58
"Separado(a) (058)",66,,3,11,14,14,24
"Casado(a) (059)",381,,10,65,101,107,98
"Viudo(a) (060)",36,,,,1,6,29
"Divorciado(a) (061)",7,,,,2,2,3
"Soltero(a) (062)",623,162,182,133,75,47,24
"Mujeres (064)",815,129,147,182,151,102,104
"Conviviente (065)",341,20,85,107,71,32,26
"Separado(a) (066)",33,1,3,9,9,4,7
"Casado(a) (067)",229,,20,43,62,57,47
"Viudo(a) (068)",30,,,1,2,6,21
"Divorciado(a) (069)",3,,,,,2,1
"Soltero(a) (070)",179,108,39,22,7,1,2
