"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia ANTONIO RAYMONDI (000)",11752,2263,1900,1882,1719,1367,2621
"Católica (001)",9719,1906,1603,1552,1426,1103,2129
"Cristiana/Evangélica (002)",1944,344,280,313,279,255,473
"Otra (003)",29,5,3,5,7,3,6
"Ninguna (004)",60,8,14,12,7,6,13
"Hombres (006)",5789,1156,937,925,855,659,1257
"Católica (007)",4828,971,798,786,706,538,1029
"Cristiana/Evangélica (008)",906,175,130,128,141,114,218
"Otra (009)",13,2,1,1,4,2,3
"Ninguna (010)",42,8,8,10,4,5,7
"Mujeres (012)",5963,1107,963,957,864,708,1364
"Católica (013)",4891,935,805,766,720,565,1100
"Cristiana/Evangélica (014)",1038,169,150,185,138,141,255
"Otra (015)",16,3,2,4,3,1,3
"Ninguna (016)",18,,6,2,3,1,6
,,,,,,,
"URBANA (018)",3279,540,544,609,527,394,665
"Católica (019)",2839,487,469,519,466,336,562
"Cristiana/Evangélica (020)",392,46,66,78,56,52,94
"Otra (021)",16,4,3,2,3,1,3
"Ninguna (022)",32,3,6,10,2,5,6
"Hombres (024)",1674,280,287,304,280,202,321
"Católica (025)",1459,253,240,264,249,176,277
"Cristiana/Evangélica (026)",185,23,43,31,28,21,39
"Otra (027)",8,1,1,1,2,1,2
"Ninguna (028)",22,3,3,8,1,4,3
"Mujeres (030)",1605,260,257,305,247,192,344
"Católica (031)",1380,234,229,255,217,160,285
"Cristiana/Evangélica (032)",207,23,23,47,28,31,55
"Otra (033)",8,3,2,1,1,,1
"Ninguna (034)",10,,3,2,1,1,3
,,,,,,,
"RURAL (036)",8473,1723,1356,1273,1192,973,1956
"Católica (037)",6880,1419,1134,1033,960,767,1567
"Cristiana/Evangélica (038)",1552,298,214,235,223,203,379
"Otra (039)",13,1,,3,4,2,3
"Ninguna (040)",28,5,8,2,5,1,7
"Hombres (042)",4115,876,650,621,575,457,936
"Católica (043)",3369,718,558,522,457,362,752
"Cristiana/Evangélica (044)",721,152,87,97,113,93,179
"Otra (045)",5,1,,,2,1,1
"Ninguna (046)",20,5,5,2,3,1,4
"Mujeres (048)",4358,847,706,652,617,516,1020
"Católica (049)",3511,701,576,511,503,405,815
"Cristiana/Evangélica (050)",831,146,127,138,110,110,200
"Otra (051)",8,,,3,2,1,2
"Ninguna (052)",8,,3,,2,,3
