"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia BONGARA (000)",13702,6729,135,217,5955,164,32,40,102,328
"Hombres (001)",4717,3454,79,130,633,63,27,28,102,201
"Mujeres (002)",8985,3275,56,87,5322,101,5,12,,127
"De 06 a 14 años (003)",5633,5301,,,202,42,1,15,,72
"Hombres (004)",2824,2707,,,54,17,1,11,,34
"Mujeres (005)",2809,2594,,,148,25,,4,,38
"De 15 a 29 años (006)",3710,1376,3,41,2067,,14,5,102,102
"Hombres (007)",1140,730,,22,204,,13,3,102,66
"Mujeres (008)",2570,646,3,19,1863,,1,2,,36
"De 30 a 44 años (009)",1954,38,4,56,1777,,7,6,,66
"Hombres (010)",269,11,2,36,164,,7,3,,46
"Mujeres (011)",1685,27,2,20,1613,,,3,,20
"De 45 a 64 años (012)",1379,9,43,48,1222,1,9,5,,42
"Hombres (013)",211,4,19,33,114,1,6,5,,29
"Mujeres (014)",1168,5,24,15,1108,,3,,,13
"De 65 y más años (015)",1026,5,85,72,687,121,1,9,,46
"Hombres (016)",273,2,58,39,97,45,,6,,26
"Mujeres (017)",753,3,27,33,590,76,1,3,,20
,,,,,,,,,,
"AREA URBANA (018)",8121,4128,121,174,3284,107,11,20,102,174
"Hombres (019)",2979,2096,72,103,436,38,8,17,102,107
"Mujeres (020)",5142,2032,49,71,2848,69,3,3,,67
"De 06 a 14 años (021)",3238,3109,,,78,22,,7,,22
"Hombres (022)",1630,1573,,,31,9,,5,,12
"Mujeres (023)",1608,1536,,,47,13,,2,,10
"De 15 a 29 años (024)",2223,976,3,34,1042,,4,2,102,60
"Hombres (025)",802,511,,16,132,,3,2,102,36
"Mujeres (026)",1421,465,3,18,910,,1,,,24
"De 30 a 44 años (027)",1135,30,3,47,1015,,1,1,,38
"Hombres (028)",181,6,2,31,115,,1,1,,25
"Mujeres (029)",954,24,1,16,900,,,,,13
"De 45 a 64 años (030)",831,8,37,40,709,1,6,4,,26
"Hombres (031)",160,4,17,27,84,1,4,4,,19
"Mujeres (032)",671,4,20,13,625,,2,,,7
"De 65 y más años (033)",694,5,78,53,440,84,,6,,28
"Hombres (034)",206,2,53,29,74,28,,5,,15
"Mujeres (035)",488,3,25,24,366,56,,1,,13
,,,,,,,,,,
"AREA RURAL (036)",5581,2601,14,43,2671,57,21,20,,154
"Hombres (037)",1738,1358,7,27,197,25,19,11,,94
"Mujeres (038)",3843,1243,7,16,2474,32,2,9,,60
"De 06 a 14 años (039)",2395,2192,,,124,20,1,8,,50
"Hombres (040)",1194,1134,,,23,8,1,6,,22
"Mujeres (041)",1201,1058,,,101,12,,2,,28
"De 15 a 29 años (042)",1487,400,,7,1025,,10,3,,42
"Hombres (043)",338,219,,6,72,,10,1,,30
"Mujeres (044)",1149,181,,1,953,,,2,,12
"De 30 a 44 años (045)",819,8,1,9,762,,6,5,,28
"Hombres (046)",88,5,,5,49,,6,2,,21
"Mujeres (047)",731,3,1,4,713,,,3,,7
"De 45 a 64 años (048)",548,1,6,8,513,,3,1,,16
"Hombres (049)",51,,2,6,30,,2,1,,10
"Mujeres (050)",497,1,4,2,483,,1,,,6
"De 65 y más años (051)",332,,7,19,247,37,1,3,,18
"Hombres (052)",67,,5,10,23,17,,1,,11
"Mujeres (053)",265,,2,9,224,20,1,2,,7
