"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia YUNGUYO (000)",42545,6393,650,17394,14297,1009,986,766,1050
"Hombres (001)",20938,1490,311,8562,8195,616,591,497,676
"Mujeres (002)",21607,4903,339,8832,6102,393,395,269,374
"PEA (003)",20174,3274,18,7451,7179,438,722,284,808
"Hombres (004)",11649,948,7,4262,4918,308,459,210,537
"Mujeres (005)",8525,2326,11,3189,2261,130,263,74,271
"Ocupada (006)",19018,3222,17,7169,6516,393,671,264,766
"Hombres (007)",10843,918,6,4067,4449,277,425,196,505
"Mujeres (008)",8175,2304,11,3102,2067,116,246,68,261
"Desocupada (009)",1156,52,1,282,663,45,51,20,42
"Hombres (010)",806,30,1,195,469,31,34,14,32
"Mujeres (011)",350,22,,87,194,14,17,6,10
"No PEA (012)",22371,3119,632,9943,7118,571,264,482,242
"Hombres (013)",9289,542,304,4300,3277,308,132,287,139
"Mujeres (014)",13082,2577,328,5643,3841,263,132,195,103
,,,,,,,,,
"URBANA (018)",15538,1203,173,5503,5877,662,737,517,866
"Hombres (019)",7622,232,89,2522,3136,390,409,321,523
"Mujeres (020)",7916,971,84,2981,2741,272,328,196,343
"PEA (021)",7068,544,7,2020,2841,296,526,181,653
"Hombres (022)",3945,121,1,1001,1785,199,308,127,403
"Mujeres (023)",3123,423,6,1019,1056,97,218,54,250
"Ocupada (024)",6626,527,7,1929,2606,272,488,169,628
"Hombres (025)",3661,112,1,943,1632,184,283,120,386
"Mujeres (026)",2965,415,6,986,974,88,205,49,242
"Desocupada (027)",442,17,,91,235,24,38,12,25
"Hombres (028)",284,9,,58,153,15,25,7,17
"Mujeres (029)",158,8,,33,82,9,13,5,8
"No PEA (030)",8470,659,166,3483,3036,366,211,336,213
"Hombres (031)",3677,111,88,1521,1351,191,101,194,120
"Mujeres (032)",4793,548,78,1962,1685,175,110,142,93
,,,,,,,,,
"RURAL (036)",27007,5190,477,11891,8420,347,249,249,184
"Hombres (037)",13316,1258,222,6040,5059,226,182,176,153
"Mujeres (038)",13691,3932,255,5851,3361,121,67,73,31
"PEA (039)",13106,2730,11,5431,4338,142,196,103,155
"Hombres (040)",7704,827,6,3261,3133,109,151,83,134
"Mujeres (041)",5402,1903,5,2170,1205,33,45,20,21
"Ocupada (042)",12392,2695,10,5240,3910,121,183,95,138
"Hombres (043)",7182,806,5,3124,2817,93,142,76,119
"Mujeres (044)",5210,1889,5,2116,1093,28,41,19,19
"Desocupada (045)",714,35,1,191,428,21,13,8,17
"Hombres (046)",522,21,1,137,316,16,9,7,15
"Mujeres (047)",192,14,,54,112,5,4,1,2
"No PEA (048)",13901,2460,466,6460,4082,205,53,146,29
"Hombres (049)",5612,431,216,2779,1926,117,31,93,19
"Mujeres (050)",8289,2029,250,3681,2156,88,22,53,10
