"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PURUS (000)",1053,708,139,45,161
"Agric., ganadería, caza y silvicultura (001)",389,374,14,1,
"Pesca (002)",3,3,,,
"Industrias manufactureras (004)",46,43,2,1,
"Suministro de electricidad, gas y agua (005)",1,,,1,
"Construcción (006)",43,32,11,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",60,55,4,1,
"Venta, mant.y rep. veh.autom y motoc. (008)",3,2,,1,
"Comercio al por mayor (009)",3,,3,,
"Comercio al por menor (010)",54,53,1,,
"Hoteles y restaurantes (011)",24,21,,3,
"Trans., almac. y comunicaciones (012)",30,22,3,5,
"Intermediación financiera (013)",4,1,,1,2
"Activid.inmobil., empres. y alquileres (014)",10,4,3,2,1
"Admin.pub. y defensa; p. segur soc.afil (015)",141,,,,141
"Enseñanza (016)",148,45,84,19,
"Servicios sociales y de salud (017)",20,5,,,15
"Otras activ. serv.comun.soc y personales (018)",20,7,9,3,1
"Hogares privados con servicio doméstico (019)",8,8,,,
"Actividad economica no especificada (021)",106,88,9,8,1
"Hombres (022)",824,568,100,34,122
"Agric., ganadería, caza y silvicultura (023)",339,326,12,1,
"Pesca (024)",3,3,,,
"Industrias manufactureras (026)",43,40,2,1,
"Suministro de electricidad, gas y agua (027)",1,,,1,
"Construcción (028)",41,31,10,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",35,30,4,1,
"Venta, mant.y rep. veh.autom y motoc. (030)",3,2,,1,
"Comercio al por mayor (031)",3,,3,,
"Comercio al por menor (032)",29,28,1,,
"Hoteles y restaurantes (033)",10,7,,3,
"Trans., almac. y comunicaciones (034)",29,22,3,4,
"Intermediación financiera (035)",3,1,,,2
"Activid.inmobil., empres. y alquileres (036)",7,2,2,2,1
"Admin.pub. y defensa; p. segur soc.afil (037)",108,,,,108
"Enseñanza (038)",93,26,53,14,
"Servicios sociales y de salud (039)",12,3,,,9
"Otras activ. serv.comun.soc y personales (040)",13,2,7,3,1
"Hogares privados con servicio doméstico (041)",5,5,,,
"Actividad economica no especificada (043)",82,70,7,4,1
"Mujeres (044)",229,140,39,11,39
"Agric., ganadería, caza y silvicultura (045)",50,48,2,,
"Industrias manufactureras (048)",3,3,,,
"Construcción (050)",2,1,1,,
