"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia ISLAY (000)",2012,1450,562
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",82,79,3
"Casa pensión (003)",4,4,
"Hospital, clinica (004)",38,38,
"Asilo (006)",5,5,
"Aldea infantil, orfelinato, etc (007)",2,2,
"Otro (008)",1303,998,305
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",578,324,254
