"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia PATAZ",,,,,,,
"Viviendas particulares (001)",16138,2135,560,145,12437,394,467
"Ocupantes presentes (002)",73667,7957,2700,719,58601,1677,2013
"Casa independiente",,,,,,,
"Viviendas particulares (004)",15624,1961,553,137,12204,328,441
"Ocupantes presentes (005)",71505,7355,2678,681,57495,1379,1917
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",5,4,,,1,,
"Ocupantes presentes (008)",19,14,,,5,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",51,45,,1,4,,1
"Ocupantes presentes (011)",185,144,,5,30,,6
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",110,94,,1,13,,2
"Ocupantes presentes (014)",378,311,,5,54,,8
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",318,23,7,6,203,60,19
"Ocupantes presentes (017)",1447,99,22,28,952,280,66
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",11,2,,,7,1,1
"Ocupantes presentes (020)",45,11,,,30,3,1
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",15,6,,,3,5,1
"Ocupantes presentes (023)",64,23,,,20,15,6
"Otro tipo",,,,,,,
"Viviendas particulares (025)",4,,,,2,,2
"Ocupantes presentes (026)",24,,,,15,,9
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",4441,1423,89,45,2685,67,132
"Ocupantes presentes (029)",18855,5165,443,216,12247,249,535
"Casa independiente",,,,,,,
"Viviendas particulares (031)",4258,1274,89,43,2660,64,128
"Ocupantes presentes (032)",18211,4671,443,206,12128,243,520
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",5,4,,,1,,
"Ocupantes presentes (035)",19,14,,,5,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",51,45,,1,4,,1
"Ocupantes presentes (038)",185,144,,5,30,,6
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",110,94,,1,13,,2
"Ocupantes presentes (041)",378,311,,5,54,,8
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",11,2,,,7,1,1
"Ocupantes presentes (047)",45,11,,,30,3,1
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",6,4,,,,2,
"Ocupantes presentes (050)",17,14,,,,3,
"Otro tipo",,,,,,,
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",11697,712,471,100,9752,327,335
"Ocupantes presentes (056)",54812,2792,2257,503,46354,1428,1478
"Casa independiente",,,,,,,
"Viviendas particulares (058)",11366,687,464,94,9544,264,313
"Ocupantes presentes (059)",53294,2684,2235,475,45367,1136,1397
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",318,23,7,6,203,60,19
"Ocupantes presentes (071)",1447,99,22,28,952,280,66
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",9,2,,,3,3,1
"Ocupantes presentes (077)",47,9,,,20,12,6
"Otro tipo",,,,,,,
"Viviendas particulares (079)",4,,,,2,,2
"Ocupantes presentes (080)",24,,,,15,,9
