"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia PUERTO INCA (000)",15807,12236,3571
"De 3 a 5 años (001)",2523,116,2407
"De 6 a 11 años (002)",4998,4066,932
"De 12 a 16 años (003)",3852,3777,75
"De 17 a 24 años (004)",4434,4277,157
"Hombres (005)",8359,6512,1847
"De 3 a 5 años (006)",1318,64,1254
"De 6 a 11 años (007)",2598,2110,488
"De 12 a 16 años (008)",2058,2012,46
"De 17 a 24 años (009)",2385,2326,59
"Mujeres (010)",7448,5724,1724
"De 3 a 5 años (011)",1205,52,1153
"De 6 a 11 años (012)",2400,1956,444
"De 12 a 16 años (013)",1794,1765,29
"De 17 a 24 años (014)",2049,1951,98
,,,
"URBANA (015)",3036,2509,527
"De 3 a 5 años (016)",399,17,382
"De 6 a 11 años (017)",908,779,129
"De 12 a 16 años (018)",876,873,3
"De 17 a 24 años (019)",853,840,13
"Hombres (020)",1547,1273,274
"De 3 a 5 años (021)",213,11,202
"De 6 a 11 años (022)",456,391,65
"De 12 a 16 años (023)",435,434,1
"De 17 a 24 años (024)",443,437,6
"Mujeres (025)",1489,1236,253
"De 3 a 5 años (026)",186,6,180
"De 6 a 11 años (027)",452,388,64
"De 12 a 16 años (028)",441,439,2
"De 17 a 24 años (029)",410,403,7
,,,
"RURAL (030)",12771,9727,3044
"De 3 a 5 años (031)",2124,99,2025
"De 6 a 11 años (032)",4090,3287,803
"De 12 a 16 años (033)",2976,2904,72
"De 17 a 24 años (034)",3581,3437,144
"Hombres (035)",6812,5239,1573
"De 3 a 5 años (036)",1105,53,1052
"De 6 a 11 años (037)",2142,1719,423
"De 12 a 16 años (038)",1623,1578,45
"De 17 a 24 años (039)",1942,1889,53
"Mujeres (040)",5959,4488,1471
"De 3 a 5 años (041)",1019,46,973
"De 6 a 11 años (042)",1948,1568,380
"De 12 a 16 años (043)",1353,1326,27
"De 17 a 24 años (044)",1639,1548,91
