"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia SANTA (000)",355150,69402,107674,86112,64741,27221
"Hombres (001)",176614,35175,53854,42082,31435,14068
"Mujeres (002)",178536,34227,53820,44030,33306,13153
"PEA (003)",151560,1410,48605,57622,37709,6214
"Hombres (004)",100535,913,32283,37367,25306,4666
"Mujeres (005)",51025,497,16322,20255,12403,1548
"Ocupada (006)",144012,1336,44978,55379,36344,5975
"Hombres (007)",95127,861,29838,35791,24181,4456
"Mujeres (008)",48885,475,15140,19588,12163,1519
"Desocupada (009)",7548,74,3627,2243,1365,239
"Hombres (010)",5408,52,2445,1576,1125,210
"Mujeres (011)",2140,22,1182,667,240,29
"No PEA (012)",203590,67992,59069,28490,27032,21007
"Hombres (013)",76079,34262,21571,4715,6129,9402
"Mujeres (014)",127511,33730,37498,23775,20903,11605
,,,,,,
"URBANA (018)",332390,64033,100950,81332,60883,25192
"Hombres (019)",164369,32312,50230,39489,29334,13004
"Mujeres (020)",168021,31721,50720,41843,31549,12188
"PEA (021)",141972,1084,45330,54686,35430,5442
"Hombres (022)",92614,684,29578,34971,23394,3987
"Mujeres (023)",49358,400,15752,19715,12036,1455
"Ocupada (024)",134795,1026,41870,52533,34135,5231
"Hombres (025)",87531,647,27264,33479,22336,3805
"Mujeres (026)",47264,379,14606,19054,11799,1426
"Desocupada (027)",7177,58,3460,2153,1295,211
"Hombres (028)",5083,37,2314,1492,1058,182
"Mujeres (029)",2094,21,1146,661,237,29
"No PEA (030)",190418,62949,55620,26646,25453,19750
"Hombres (031)",71755,31628,20652,4518,5940,9017
"Mujeres (032)",118663,31321,34968,22128,19513,10733
,,,,,,
"RURAL (036)",22760,5369,6724,4780,3858,2029
"Hombres (037)",12245,2863,3624,2593,2101,1064
"Mujeres (038)",10515,2506,3100,2187,1757,965
"PEA (039)",9588,326,3275,2936,2279,772
"Hombres (040)",7921,229,2705,2396,1912,679
"Mujeres (041)",1667,97,570,540,367,93
"Ocupada (042)",9217,310,3108,2846,2209,744
"Hombres (043)",7596,214,2574,2312,1845,651
"Mujeres (044)",1621,96,534,534,364,93
"Desocupada (045)",371,16,167,90,70,28
"Hombres (046)",325,15,131,84,67,28
"Mujeres (047)",46,1,36,6,3,
"No PEA (048)",13172,5043,3449,1844,1579,1257
"Hombres (049)",4324,2634,919,197,189,385
"Mujeres (050)",8848,2409,2530,1647,1390,872
