"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SAN MARCOS (000)",14442,12749,974,356,363
"Agric., ganadería, caza y silvicultura (001)",9565,9198,324,32,11
"Pesca (002)",3,1,,1,1
"Explotación de minas y canteras (003)",37,12,6,3,16
"Industrias manufactureras (004)",463,426,25,7,5
"Suministro de electricidad, gas y agua (005)",12,3,1,7,1
"Construcción (006)",388,280,69,33,6
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1095,1028,41,17,9
"Venta, mant.y rep. veh.autom y motoc. (008)",68,60,8,,
"Comercio al por mayor (009)",46,31,1,5,9
"Comercio al por menor (010)",981,937,32,12,
"Hoteles y restaurantes (011)",184,167,13,3,1
"Trans., almac. y comunicaciones (012)",302,254,28,18,2
"Intermediación financiera (013)",11,4,,4,3
"Activid.inmobil., empres. y alquileres (014)",158,88,23,31,16
"Admin.pub. y defensa; p. segur soc.afil (015)",189,,,,189
"Enseñanza (016)",760,232,350,152,26
"Servicios sociales y de salud (017)",133,47,19,9,58
"Otras activ. serv.comun.soc y personales (018)",247,195,31,12,9
"Hogares privados con servicio doméstico (019)",322,322,,,
"Actividad economica no especificada (021)",573,492,44,27,10
"Hombres (022)",11370,10227,653,239,251
"Agric., ganadería, caza y silvicultura (023)",8431,8167,230,24,10
"Pesca (024)",3,1,,1,1
"Explotación de minas y canteras (025)",30,10,4,3,13
"Industrias manufactureras (026)",354,326,17,6,5
"Suministro de electricidad, gas y agua (027)",12,3,1,7,1
"Construcción (028)",383,277,69,33,4
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",647,607,25,10,5
"Venta, mant.y rep. veh.autom y motoc. (030)",63,55,8,,
"Comercio al por mayor (031)",25,15,1,4,5
"Comercio al por menor (032)",559,537,16,6,
"Hoteles y restaurantes (033)",44,35,9,,
"Trans., almac. y comunicaciones (034)",282,240,25,15,2
"Intermediación financiera (035)",8,2,,3,3
"Activid.inmobil., empres. y alquileres (036)",86,49,10,19,8
"Admin.pub. y defensa; p. segur soc.afil (037)",151,,,,151
"Enseñanza (038)",395,99,198,85,13
"Servicios sociales y de salud (039)",45,15,4,6,20
"Otras activ. serv.comun.soc y personales (040)",169,124,29,9,7
"Hogares privados con servicio doméstico (041)",20,20,,,
"Actividad economica no especificada (043)",310,252,32,18,8
