"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia PADRE ABAD",,,,,,,,,
"Viviendas particulares (001)",408,344,39,7,16,,,1,1
"Ocupantes presentes (002)",1962,1655,185,21,93,,,5,3
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",339,284,36,4,14,,,1,
"Ocupantes presentes (005)",1695,1413,177,12,88,,,5,
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",8,8,,,,,,,
"Ocupantes presentes (008)",36,36,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",48,43,1,3,1,,,,
"Ocupantes presentes (011)",171,160,1,9,1,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",8,6,,,1,,,,1
"Ocupantes presentes (014)",35,28,,,4,,,,3
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",1,,1,,,,,,
"Ocupantes presentes (020)",4,,4,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",4,3,1,,,,,,
"Ocupantes presentes (023)",21,18,3,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",402,338,39,7,16,,,1,1
"Ocupantes presentes (029)",1940,1633,185,21,93,,,5,3
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",333,278,36,4,14,,,1,
"Ocupantes presentes (032)",1673,1391,177,12,88,,,5,
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",8,8,,,,,,,
"Ocupantes presentes (035)",36,36,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",48,43,1,3,1,,,,
"Ocupantes presentes (038)",171,160,1,9,1,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",8,6,,,1,,,,1
"Ocupantes presentes (041)",35,28,,,4,,,,3
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",1,,1,,,,,,
"Ocupantes presentes (047)",4,,4,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",4,3,1,,,,,,
"Ocupantes presentes (050)",21,18,3,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",6,6,,,,,,,
"Ocupantes presentes (056)",22,22,,,,,,,
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",6,6,,,,,,,
"Ocupantes presentes (059)",22,22,,,,,,,
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
