"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CALCA (000)",65407,28406,3595,1060,32463
"Menos de 1 año (001)",1055,790,43,15,209
"De 1 a 14 años (002)",22792,15307,1050,288,6188
"De 15 a 29 años (003)",16170,5024,600,241,10319
"De 30 a 44 años (004)",12196,3519,891,251,7564
"De 45 a 64 años (005)",9064,2650,763,214,5465
"De 65 y mas años (006)",4130,1116,248,51,2718
"Hombres (008)",32940,13961,1806,650,16591
"Menos de 1 año (009)",521,384,19,6,113
"De 1 a 14 años (010)",11660,7785,538,152,3206
"De 15 a 29 años (011)",8341,2387,292,147,5522
"De 30 a 44 años (012)",6067,1610,440,175,3859
"De 45 a 64 años (013)",4476,1282,375,141,2699
"De 65 y mas años (014)",1875,513,142,29,1192
"Mujeres (016)",32467,14445,1789,410,15872
"Menos de 1 año (017)",534,406,24,9,96
"De 1 a 14 años (018)",11132,7522,512,136,2982
"De 15 a 29 años (019)",7829,2637,308,94,4797
"De 30 a 44 años (020)",6129,1909,451,76,3705
"De 45 a 64 años (021)",4588,1368,388,73,2766
"De 65 y mas años (022)",2255,603,106,22,1526
,,,,,
"URBANA (024)",23117,5736,2647,797,13984
"Menos de 1 año (025)",329,206,27,11,86
"De 1 a 14 años (026)",7197,3849,738,193,2430
"De 15 a 29 años (027)",6287,1004,432,186,4673
"De 30 a 44 años (028)",4600,367,630,205,3411
"De 45 a 64 años (029)",3210,225,623,162,2212
"De 65 y mas años (030)",1494,85,197,40,1172
"Hombres (032)",11446,2818,1301,496,6861
"Menos de 1 año (033)",156,101,11,4,41
"De 1 a 14 años (034)",3684,1955,382,103,1250
"De 15 a 29 años (035)",3169,448,201,112,2412
"De 30 a 44 años (036)",2218,156,291,147,1632
"De 45 a 64 años (037)",1566,117,302,109,1049
"De 65 y mas años (038)",653,41,114,21,477
"Mujeres (040)",11671,2918,1346,301,7123
"Menos de 1 año (041)",173,105,16,7,45
"De 1 a 14 años (042)",3513,1894,356,90,1180
"De 15 a 29 años (043)",3118,556,231,74,2261
"De 30 a 44 años (044)",2382,211,339,58,1779
"De 45 a 64 años (045)",1644,108,321,53,1163
"De 65 y mas años (046)",841,44,83,19,695
,,,,,
"RURAL (048)",42290,22670,948,263,18479
"Menos de 1 año (049)",726,584,16,4,123
"De 1 a 14 años (050)",15595,11458,312,95,3758
"De 15 a 29 años (051)",9883,4020,168,55,5646
"De 30 a 44 años (052)",7596,3152,261,46,4153
"De 45 a 64 años (053)",5854,2425,140,52,3253
"De 65 y mas años (054)",2636,1031,51,11,1546
"Hombres (056)",21494,11143,505,154,9730
"Menos de 1 año (057)",365,283,8,2,72
"De 1 a 14 años (058)",7976,5830,156,49,1956
"De 15 a 29 años (059)",5172,1939,91,35,3110
"De 30 a 44 años (060)",3849,1454,149,28,2227
"De 45 a 64 años (061)",2910,1165,73,32,1650
"De 65 y mas años (062)",1222,472,28,8,715
"Mujeres (064)",20796,11527,443,109,8749
"Menos de 1 año (065)",361,301,8,2,51
"De 1 a 14 años (066)",7619,5628,156,46,1802
"De 15 a 29 años (067)",4711,2081,77,20,2536
"De 30 a 44 años (068)",3747,1698,112,18,1926
"De 45 a 64 años (069)",2944,1260,67,20,1603
"De 65 y mas años (070)",1414,559,23,3,831
