"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia DATEM DEL MARAÑON (000)",28586,5603,9358,6535,7090
"Asiste actualmente (001)",13878,1503,6733,4345,1297
"No asiste (002)",14708,4100,2625,2190,5793
"Hombres (004)",14314,2764,4730,3334,3486
"Asiste actualmente (005)",7375,727,3467,2329,852
"No asiste (006)",6939,2037,1263,1005,2634
"Mujeres (008)",14272,2839,4628,3201,3604
"Asiste actualmente (009)",6503,776,3266,2016,445
"No asiste (010)",7769,2063,1362,1185,3159
,,,,,
"URBANA (012)",7502,1267,2243,2081,1911
"Asiste actualmente (013)",4820,529,1947,1752,592
"No asiste (014)",2682,738,296,329,1319
"Hombres (016)",3725,620,1128,1072,905
"Asiste actualmente (017)",2531,255,991,925,360
"No asiste (018)",1194,365,137,147,545
"Mujeres (020)",3777,647,1115,1009,1006
"Asiste actualmente (021)",2289,274,956,827,232
"No asiste (022)",1488,373,159,182,774
,,,,,
"RURAL (024)",21084,4336,7115,4454,5179
"Asiste actualmente (025)",9058,974,4786,2593,705
"No asiste (026)",12026,3362,2329,1861,4474
"Hombres (028)",10589,2144,3602,2262,2581
"Asiste actualmente (029)",4844,472,2476,1404,492
"No asiste (030)",5745,1672,1126,858,2089
"Mujeres (032)",10495,2192,3513,2192,2598
"Asiste actualmente (033)",4214,502,2310,1189,213
"No asiste (034)",6281,1690,1203,1003,2385
