"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CAÑETE (000)",188293,30919,41553,8619,107632
"Sin Nivel (001)",15856,4419,3467,412,7580
"Educación Inicial (002)",5348,1968,1262,144,1989
"Primaria (003)",53715,11841,11203,1833,28937
"Secundaria (004)",70629,9838,13076,2792,45029
"Sup. no Univ. Incompleta (005)",11797,1053,2101,596,8069
"Sup. no Univ. Completa (006)",14464,940,4818,1153,7612
"Sup. Univ. Incompleta (007)",7140,476,1562,638,4490
"Sup. Univ. Completa (008)",9344,384,4064,1051,3926
"Hombres (010)",94316,14036,21255,5084,54218
"Sin Nivel (011)",6441,2121,1427,161,2745
"Educación Inicial (012)",2713,1016,638,75,991
"Primaria (013)",25718,5649,5549,982,13593
"Secundaria (014)",38251,4254,7350,1761,24955
"Sup. no Univ. Incompleta (015)",5809,354,1160,387,3924
"Sup. no Univ. Completa (016)",6680,276,2195,709,3538
"Sup. Univ. Incompleta (017)",3807,206,842,368,2412
"Sup. Univ. Completa (018)",4897,160,2094,641,2060
"Mujeres (020)",93977,16883,20298,3535,53414
"Sin Nivel (021)",9415,2298,2040,251,4835
"Educación Inicial (022)",2635,952,624,69,998
"Primaria (023)",27997,6192,5654,851,15344
"Secundaria (024)",32378,5584,5726,1031,20074
"Sup. no Univ. Incompleta (025)",5988,699,941,209,4145
"Sup. no Univ. Completa (026)",7784,664,2623,444,4074
"Sup. Univ. Incompleta (027)",3333,270,720,270,2078
"Sup. Univ. Completa (028)",4447,224,1970,410,1866
,,,,,
"URBANA (030)",158125,26328,35956,7612,88592
"Sin Nivel (031)",12778,3668,2862,364,5902
"Educación Inicial (032)",4623,1667,1128,131,1710
"Primaria (033)",43716,9895,9564,1598,22749
"Secundaria (034)",59253,8494,11190,2478,37175
"Sup. no Univ. Incompleta (035)",10244,962,1813,536,6953
"Sup. no Univ. Completa (036)",12781,855,4332,1031,6614
"Sup. Univ. Incompleta (037)",6334,436,1366,571,3982
"Sup. Univ. Completa (038)",8396,351,3701,903,3507
"Hombres (040)",78545,11902,18055,4410,44410
"Sin Nivel (041)",5256,1749,1196,140,2184
"Educación Inicial (042)",2327,861,567,66,839
"Primaria (043)",20766,4727,4688,840,10560
"Secundaria (044)",31771,3666,6179,1533,20448
"Sup. no Univ. Incompleta (045)",4958,318,966,341,3348
"Sup. no Univ. Completa (046)",5824,249,1901,633,3073
"Sup. Univ. Incompleta (047)",3330,193,696,326,2131
"Sup. Univ. Completa (048)",4313,139,1862,531,1827
"Mujeres (050)",79580,14426,17901,3202,44182
"Sin Nivel (051)",7522,1919,1666,224,3718
"Educación Inicial (052)",2296,806,561,65,871
"Primaria (053)",22950,5168,4876,758,12189
"Secundaria (054)",27482,4828,5011,945,16727
"Sup. no Univ. Incompleta (055)",5286,644,847,195,3605
"Sup. no Univ. Completa (056)",6957,606,2431,398,3541
"Sup. Univ. Incompleta (057)",3004,243,670,245,1851
"Sup. Univ. Completa (058)",4083,212,1839,372,1680
,,,,,
"RURAL (060)",30168,4591,5597,1007,19040
"Sin Nivel (061)",3078,751,605,48,1678
"Educación Inicial (062)",725,301,134,13,279
"Primaria (063)",9999,1946,1639,235,6188
"Secundaria (064)",11376,1344,1886,314,7854
"Sup. no Univ. Incompleta (065)",1553,91,288,60,1116
"Sup. no Univ. Completa (066)",1683,85,486,122,998
"Sup. Univ. Incompleta (067)",806,40,196,67,508
"Sup. Univ. Completa (068)",948,33,363,148,419
"Hombres (070)",15771,2134,3200,674,9808
"Sin Nivel (071)",1185,372,231,21,561
"Educación Inicial (072)",386,155,71,9,152
"Primaria (073)",4952,922,861,142,3033
"Secundaria (074)",6480,588,1171,228,4507
"Sup. no Univ. Incompleta (075)",851,36,194,46,576
"Sup. no Univ. Completa (076)",856,27,294,76,465
"Sup. Univ. Incompleta (077)",477,13,146,42,281
"Sup. Univ. Completa (078)",584,21,232,110,233
"Mujeres (080)",14397,2457,2397,333,9232
"Sin Nivel (081)",1893,379,374,27,1117
"Educación Inicial (082)",339,146,63,4,127
"Primaria (083)",5047,1024,778,93,3155
"Secundaria (084)",4896,756,715,86,3347
"Sup. no Univ. Incompleta (085)",702,55,94,14,540
"Sup. no Univ. Completa (086)",827,58,192,46,533
"Sup. Univ. Incompleta (087)",329,27,50,25,227
"Sup. Univ. Completa (088)",364,12,131,38,186
