"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ANTABAMBA (000)",4079,2526,842,242,469
"Sin nivel (001)",599,469,98,23,9
"Educación inicial (002)",5,4,1,,
"Primaria (003)",1447,1001,308,77,61
"Secundaria (004)",1315,822,291,87,115
"Superior no univ. incompleta (005)",156,81,34,10,31
"Superior no univ. completa (006)",220,65,41,16,98
"Superior univ. incompleta (007)",78,27,19,8,24
"Superior univ. completa (008)",259,57,50,21,131
"De 06 a 14 años (010)",69,34,28,6,1
"Sin nivel (011)",1,1,,,
"Educación inicial (012)",1,1,,,
"Primaria (013)",45,22,18,4,1
"Secundaria (014)",22,10,10,2,
"De 15 a 29 años (020)",1016,595,222,77,122
"Sin nivel (021)",36,27,5,2,2
"Educación inicial (022)",2,2,,,
"Primaria (023)",245,159,57,16,13
"Secundaria (024)",547,333,129,46,39
"Superior no univ. incompleta (025)",49,30,10,3,6
"Superior no univ. completa (026)",61,20,9,3,29
"Superior univ. incompleta (027)",19,10,4,1,4
"Superior univ. completa (028)",57,14,8,6,29
"De 30 a 44 años (030)",1346,770,276,92,208
"Sin nivel (031)",128,103,17,6,2
"Educación inicial (032)",2,1,1,,
"Primaria (033)",423,273,95,32,23
"Secundaria (034)",457,289,95,27,46
"Superior no univ. incompleta (035)",75,40,15,5,15
"Superior no univ. completa (036)",101,30,17,8,46
"Superior univ. incompleta (037)",38,10,11,6,11
"Superior univ. completa (038)",122,24,25,8,65
"De 45 a 64 años (040)",1127,726,220,51,130
"Sin nivel (041)",224,174,37,8,5
"Primaria (043)",485,346,98,20,21
"Secundaria (044)",245,164,44,10,27
"Superior no univ. incompleta (045)",30,10,9,2,9
"Superior no univ. completa (046)",51,11,13,4,23
"Superior univ. incompleta (047)",20,7,3,1,9
"Superior univ. completa (048)",72,14,16,6,36
"De 65 y más años (050)",521,401,96,16,8
"Sin nivel (051)",210,164,39,7,
"Primaria (053)",249,201,40,5,3
"Secundaria (054)",44,26,13,2,3
"Superior no univ. incompleta (055)",2,1,,,1
"Superior no univ. completa (056)",7,4,2,1,
"Superior univ. incompleta (057)",1,,1,,
"Superior univ. completa (058)",8,5,1,1,1
,,,,,
"URBANA (060)",2629,1350,712,192,375
