"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia PURUS (000)",1876,368,505,456,547
"Asiste actualmente (001)",1020,118,402,342,158
"No asiste (002)",856,250,103,114,389
"Hombres (004)",989,195,271,230,293
"Asiste actualmente (005)",570,55,217,192,106
"No asiste (006)",419,140,54,38,187
"Mujeres (008)",887,173,234,226,254
"Asiste actualmente (009)",450,63,185,150,52
"No asiste (010)",437,110,49,76,202
,,,,,
"URBANA (012)",578,100,135,148,195
"Asiste actualmente (013)",335,41,115,124,55
"No asiste (014)",243,59,20,24,140
"Hombres (016)",317,49,81,76,111
"Asiste actualmente (017)",192,19,69,69,35
"No asiste (018)",125,30,12,7,76
"Mujeres (020)",261,51,54,72,84
"Asiste actualmente (021)",143,22,46,55,20
"No asiste (022)",118,29,8,17,64
,,,,,
"RURAL (024)",1298,268,370,308,352
"Asiste actualmente (025)",685,77,287,218,103
"No asiste (026)",613,191,83,90,249
"Hombres (028)",672,146,190,154,182
"Asiste actualmente (029)",378,36,148,123,71
"No asiste (030)",294,110,42,31,111
"Mujeres (032)",626,122,180,154,170
"Asiste actualmente (033)",307,41,139,95,32
"No asiste (034)",319,81,41,59,138
