"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia SULLANA",,,,,,,
"Viviendas particulares (001)",63939,4368,11703,2866,40345,1907,2750
"Ocupantes presentes (002)",285727,16991,48665,12930,187286,7933,11922
"Casa independiente",,,,,,,
"Viviendas particulares (004)",63383,4104,11671,2853,40192,1855,2708
"Ocupantes presentes (005)",283622,16136,48554,12865,186555,7754,11758
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",260,172,,3,65,12,8
"Ocupantes presentes (008)",988,561,,25,322,49,31
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",70,41,,1,18,7,3
"Ocupantes presentes (011)",281,118,,7,115,26,15
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",68,15,,4,33,9,7
"Ocupantes presentes (014)",305,69,,16,163,30,27
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",43,4,11,2,12,11,3
"Ocupantes presentes (017)",127,12,33,2,41,28,11
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",72,17,21,3,11,7,13
"Ocupantes presentes (020)",286,58,78,15,54,27,54
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",37,14,,,9,6,8
"Ocupantes presentes (023)",106,34,,,27,19,26
"Otro tipo",,,,,,,
"Viviendas particulares (025)",6,1,,,5,,
"Ocupantes presentes (026)",12,3,,,9,,
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",57014,4188,8613,2777,37320,1622,2494
"Ocupantes presentes (029)",256988,16323,35822,12583,174495,6903,10862
"Casa independiente",,,,,,,
"Viviendas particulares (031)",56506,3928,8592,2766,37181,1581,2458
"Ocupantes presentes (032)",255020,15480,35744,12520,173807,6752,10717
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",260,172,,3,65,12,8
"Ocupantes presentes (035)",988,561,,25,322,49,31
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",70,41,,1,18,7,3
"Ocupantes presentes (038)",281,118,,7,115,26,15
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",68,15,,4,33,9,7
"Ocupantes presentes (041)",305,69,,16,163,30,27
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",72,17,21,3,11,7,13
"Ocupantes presentes (047)",286,58,78,15,54,27,54
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",34,14,,,9,6,5
"Ocupantes presentes (050)",98,34,,,27,19,18
"Otro tipo",,,,,,,
"Viviendas particulares (052)",4,1,,,3,,
"Ocupantes presentes (053)",10,3,,,7,,
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",6925,180,3090,89,3025,285,256
"Ocupantes presentes (056)",28739,668,12843,347,12791,1030,1060
"Casa independiente",,,,,,,
"Viviendas particulares (058)",6877,176,3079,87,3011,274,250
"Ocupantes presentes (059)",28602,656,12810,345,12748,1002,1041
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",43,4,11,2,12,11,3
"Ocupantes presentes (071)",127,12,33,2,41,28,11
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",3,,,,,,3
"Ocupantes presentes (077)",8,,,,,,8
"Otro tipo",,,,,,,
"Viviendas particulares (079)",2,,,,2,,
"Ocupantes presentes (080)",2,,,,2,,
