"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia CONCEPCION (000)",35552,33769,1783
"Hombres (001)",16807,16226,581
"Mujeres (002)",18745,17543,1202
"De 18 a 29 años (003)",10924,10331,593
"Hombres (004)",5415,5132,283
"Mujeres (005)",5509,5199,310
"De 30 a 44 años (006)",10733,10552,181
"Hombres (007)",5028,4976,52
"Mujeres (008)",5705,5576,129
"De 45 a 64 años (009)",8756,8476,280
"Hombres (010)",3998,3924,74
"Mujeres (011)",4758,4552,206
"De 65 y más años (012)",5139,4410,729
"Hombres (013)",2366,2194,172
"Mujeres (014)",2773,2216,557
,,,
"URBANA (015)",19167,18363,804
"Hombres (016)",8759,8475,284
"Mujeres (017)",10408,9888,520
"De 18 a 29 años (018)",5826,5535,291
"Hombres (019)",2786,2642,144
"Mujeres (020)",3040,2893,147
"De 30 a 44 años (021)",5768,5679,89
"Hombres (022)",2562,2534,28
"Mujeres (023)",3206,3145,61
"De 45 a 64 años (024)",4766,4647,119
"Hombres (025)",2138,2102,36
"Mujeres (026)",2628,2545,83
"De 65 y más años (027)",2807,2502,305
"Hombres (028)",1273,1197,76
"Mujeres (029)",1534,1305,229
,,,
"RURAL (030)",16385,15406,979
"Hombres (031)",8048,7751,297
"Mujeres (032)",8337,7655,682
"De 18 a 29 años (033)",5098,4796,302
"Hombres (034)",2629,2490,139
"Mujeres (035)",2469,2306,163
"De 30 a 44 años (036)",4965,4873,92
"Hombres (037)",2466,2442,24
"Mujeres (038)",2499,2431,68
"De 45 a 64 años (039)",3990,3829,161
"Hombres (040)",1860,1822,38
"Mujeres (041)",2130,2007,123
"De 65 y más años (042)",2332,1908,424
"Hombres (043)",1093,997,96
"Mujeres (044)",1239,911,328
