"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia BELLAVISTA (000)",41808,10558,13174,10021,6023,2032
"Hombres (001)",22557,5472,6993,5599,3453,1040
"Mujeres (002)",19251,5086,6181,4422,2570,992
"PEA (003)",19422,763,6992,6844,3957,866
"Hombres (004)",14905,587,5345,5163,3098,712
"Mujeres (005)",4517,176,1647,1681,859,154
"Ocupada (006)",19097,741,6843,6745,3912,856
"Hombres (007)",14655,568,5247,5078,3059,703
"Mujeres (008)",4442,173,1596,1667,853,153
"Desocupada (009)",325,22,149,99,45,10
"Hombres (010)",250,19,98,85,39,9
"Mujeres (011)",75,3,51,14,6,1
"No PEA (012)",22386,9795,6182,3177,2066,1166
"Hombres (013)",7652,4885,1648,436,355,328
"Mujeres (014)",14734,4910,4534,2741,1711,838
,,,,,,
"URBANA (018)",23540,5563,7162,5883,3650,1282
"Hombres (019)",12472,2893,3737,3169,2046,627
"Mujeres (020)",11068,2670,3425,2714,1604,655
"PEA (021)",11109,396,3644,4144,2454,471
"Hombres (022)",7994,291,2599,2909,1826,369
"Mujeres (023)",3115,105,1045,1235,628,102
"Ocupada (024)",10841,376,3518,4065,2418,464
"Hombres (025)",7790,274,2516,2843,1794,363
"Mujeres (026)",3051,102,1002,1222,624,101
"Desocupada (027)",268,20,126,79,36,7
"Hombres (028)",204,17,83,66,32,6
"Mujeres (029)",64,3,43,13,4,1
"No PEA (030)",12431,5167,3518,1739,1196,811
"Hombres (031)",4478,2602,1138,260,220,258
"Mujeres (032)",7953,2565,2380,1479,976,553
,,,,,,
"RURAL (036)",18268,4995,6012,4138,2373,750
"Hombres (037)",10085,2579,3256,2430,1407,413
"Mujeres (038)",8183,2416,2756,1708,966,337
"PEA (039)",8313,367,3348,2700,1503,395
"Hombres (040)",6911,296,2746,2254,1272,343
"Mujeres (041)",1402,71,602,446,231,52
"Ocupada (042)",8256,365,3325,2680,1494,392
"Hombres (043)",6865,294,2731,2235,1265,340
"Mujeres (044)",1391,71,594,445,229,52
"Desocupada (045)",57,2,23,20,9,3
"Hombres (046)",46,2,15,19,7,3
"Mujeres (047)",11,,8,1,2,
"No PEA (048)",9955,4628,2664,1438,870,355
"Hombres (049)",3174,2283,510,176,135,70
"Mujeres (050)",6781,2345,2154,1262,735,285
