"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia URUBAMBA (000)",49984,11647,15224,10927,8248,3938
"Hombres (001)",25438,5886,7893,5540,4259,1860
"Mujeres (002)",24546,5761,7331,5387,3989,2078
"PEA (003)",20210,301,6518,7215,4850,1326
"Hombres (004)",13743,202,4208,4883,3480,970
"Mujeres (005)",6467,99,2310,2332,1370,356
"Ocupada (006)",19685,291,6239,7076,4767,1312
"Hombres (007)",13371,195,4027,4787,3406,956
"Mujeres (008)",6314,96,2212,2289,1361,356
"Desocupada (009)",525,10,279,139,83,14
"Hombres (010)",372,7,181,96,74,14
"Mujeres (011)",153,3,98,43,9,
"No PEA (012)",29774,11346,8706,3712,3398,2612
"Hombres (013)",11695,5684,3685,657,779,890
"Mujeres (014)",18079,5662,5021,3055,2619,1722
,,,,,,
"URBANA (018)",24821,5008,8315,5599,4058,1841
"Hombres (019)",12575,2492,4263,2832,2101,887
"Mujeres (020)",12246,2516,4052,2767,1957,954
"PEA (021)",11520,196,3978,4146,2582,618
"Hombres (022)",6927,122,2292,2457,1648,408
"Mujeres (023)",4593,74,1686,1689,934,210
"Ocupada (024)",11185,191,3790,4062,2530,612
"Hombres (025)",6720,118,2185,2411,1604,402
"Mujeres (026)",4465,73,1605,1651,926,210
"Desocupada (027)",335,5,188,84,52,6
"Hombres (028)",207,4,107,46,44,6
"Mujeres (029)",128,1,81,38,8,
"No PEA (030)",13301,4812,4337,1453,1476,1223
"Hombres (031)",5648,2370,1971,375,453,479
"Mujeres (032)",7653,2442,2366,1078,1023,744
,,,,,,
"RURAL (036)",25163,6639,6909,5328,4190,2097
"Hombres (037)",12863,3394,3630,2708,2158,973
"Mujeres (038)",12300,3245,3279,2620,2032,1124
"PEA (039)",8690,105,2540,3069,2268,708
"Hombres (040)",6816,80,1916,2426,1832,562
"Mujeres (041)",1874,25,624,643,436,146
"Ocupada (042)",8500,100,2449,3014,2237,700
"Hombres (043)",6651,77,1842,2376,1802,554
"Mujeres (044)",1849,23,607,638,435,146
"Desocupada (045)",190,5,91,55,31,8
"Hombres (046)",165,3,74,50,30,8
"Mujeres (047)",25,2,17,5,1,
"No PEA (048)",16473,6534,4369,2259,1922,1389
"Hombres (049)",6047,3314,1714,282,326,411
"Mujeres (050)",10426,3220,2655,1977,1596,978
