"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia ANTA (000)",54165,756,18691,12459,9644,8122,4493
"Jefe o Jefa (001)",13897,,24,1608,4734,4782,2749
"Esposa(o) / compañera(o) (002)",9353,,11,1879,3717,2803,943
"Hijo(a) / hijastro(a) (003)",24732,537,15928,7401,727,133,6
"Yerno / nuera (004)",552,,6,380,143,19,4
"Nieto(a) (005)",2065,168,1621,257,19,,
"Padres / suegros (006)",745,,,1,9,125,610
"Otro(a) pariente (007)",2114,45,888,647,207,182,145
"Trabajador(a) del hogar (008)",78,,14,49,3,11,1
"Pensionistas (009)",6,,,2,2,2,
"Otro(a) no pariente (010)",623,6,199,235,83,65,35
"Hombres (011)",27197,368,9711,6357,4679,4028,2054
"Jefe o Jefa (012)",10384,,11,1239,3791,3603,1740
"Esposa(o) / compañera(o) (013)",570,,8,128,210,158,66
"Hijo(a) / hijastro(a) (014)",13079,260,8225,4128,399,65,2
"Yerno / nuera (015)",282,,6,166,93,14,3
"Nieto(a) (016)",1090,82,851,145,12,,
"Padres / suegros (017)",213,,,1,3,37,172
"Otro(a) pariente (018)",1139,22,480,378,110,94,55
"Trabajador(a) del hogar (019)",29,,8,16,,5,
"Pensionistas (020)",5,,,2,1,2,
"Otro(a) no pariente (021)",406,4,122,154,60,50,16
"Mujeres (022)",26968,388,8980,6102,4965,4094,2439
"Jefe o Jefa (023)",3513,,13,369,943,1179,1009
"Esposa(o) / compañera(o) (024)",8783,,3,1751,3507,2645,877
"Hijo(a) / hijastro(a) (025)",11653,277,7703,3273,328,68,4
"Yerno / nuera (026)",270,,,214,50,5,1
"Nieto(a) (027)",975,86,770,112,7,,
"Padres / suegros (028)",532,,,,6,88,438
"Otro(a) pariente (029)",975,23,408,269,97,88,90
"Trabajador(a) del hogar (030)",49,,6,33,3,6,1
"Pensionistas (031)",1,,,,1,,
"Otro(a) no pariente (032)",217,2,77,81,23,15,19
,,,,,,,
"URBANA (033)",18847,288,6300,4473,3555,2699,1532
"Jefe o Jefa (034)",4939,,17,609,1744,1635,934
"Esposa(o) / compañera(o) (035)",3012,,5,625,1240,840,302
"Hijo(a) / hijastro(a) (036)",8248,201,5134,2524,332,55,2
"Yerno / nuera (037)",221,,2,133,74,10,2
"Nieto(a) (038)",811,62,630,112,7,,
"Padres / suegros (039)",259,,,,5,37,217
"Otro(a) pariente (040)",957,21,397,302,97,88,52
"Trabajador(a) del hogar (041)",51,,8,34,2,6,1
"Pensionistas (042)",4,,,1,2,1,
"Otro(a) no pariente (043)",345,4,107,133,52,27,22
"Hombres (044)",9255,153,3226,2208,1667,1324,677
"Jefe o Jefa (045)",3372,,7,403,1255,1138,569
"Esposa(o) / compañera(o) (046)",267,,3,61,113,64,26
"Hijo(a) / hijastro(a) (047)",4248,103,2591,1355,166,33,
"Yerno / nuera (048)",114,,2,60,43,8,1
"Nieto(a) (049)",445,35,346,58,6,,
"Padres / suegros (050)",69,,,,1,15,53
"Otro(a) pariente (051)",504,12,206,175,47,45,19
"Trabajador(a) del hogar (052)",14,,4,7,,3,
"Pensionistas (053)",3,,,1,1,1,
"Otro(a) no pariente (054)",219,3,67,88,35,17,9
"Mujeres (055)",9592,135,3074,2265,1888,1375,855
"Jefe o Jefa (056)",1567,,10,206,489,497,365
"Esposa(o) / compañera(o) (057)",2745,,2,564,1127,776,276
"Hijo(a) / hijastro(a) (058)",4000,98,2543,1169,166,22,2
"Yerno / nuera (059)",107,,,73,31,2,1
"Nieto(a) (060)",366,27,284,54,1,,
"Padres / suegros (061)",190,,,,4,22,164
"Otro(a) pariente (062)",453,9,191,127,50,43,33
"Trabajador(a) del hogar (063)",37,,4,27,2,3,1
"Pensionistas (064)",1,,,,1,,
"Otro(a) no pariente (065)",126,1,40,45,17,10,13
,,,,,,,
"RURAL (066)",35318,468,12391,7986,6089,5423,2961
"Jefe o Jefa (067)",8958,,7,999,2990,3147,1815
"Esposa(o) / compañera(o) (068)",6341,,6,1254,2477,1963,641
"Hijo(a) / hijastro(a) (069)",16484,336,10794,4877,395,78,4
"Yerno / nuera (070)",331,,4,247,69,9,2
"Nieto(a) (071)",1254,106,991,145,12,,
"Padres / suegros (072)",486,,,1,4,88,393
"Otro(a) pariente (073)",1157,24,491,345,110,94,93
"Trabajador(a) del hogar (074)",27,,6,15,1,5,
"Pensionistas (075)",2,,,1,,1,
"Otro(a) no pariente (076)",278,2,92,102,31,38,13
"Hombres (077)",17942,215,6485,4149,3012,2704,1377
"Jefe o Jefa (078)",7012,,4,836,2536,2465,1171
"Esposa(o) / compañera(o) (079)",303,,5,67,97,94,40
"Hijo(a) / hijastro(a) (080)",8831,157,5634,2773,233,32,2
"Yerno / nuera (081)",168,,4,106,50,6,2
"Nieto(a) (082)",645,47,505,87,6,,
"Padres / suegros (083)",144,,,1,2,22,119
"Otro(a) pariente (084)",635,10,274,203,63,49,36
"Trabajador(a) del hogar (085)",15,,4,9,,2,
"Pensionistas (086)",2,,,1,,1,
"Otro(a) no pariente (087)",187,1,55,66,25,33,7
"Mujeres (088)",17376,253,5906,3837,3077,2719,1584
"Jefe o Jefa (089)",1946,,3,163,454,682,644
"Esposa(o) / compañera(o) (090)",6038,,1,1187,2380,1869,601
"Hijo(a) / hijastro(a) (091)",7653,179,5160,2104,162,46,2
"Yerno / nuera (092)",163,,,141,19,3,
"Nieto(a) (093)",609,59,486,58,6,,
"Padres / suegros (094)",342,,,,2,66,274
"Otro(a) pariente (095)",522,14,217,142,47,45,57
"Trabajador(a) del hogar (096)",12,,2,6,1,3,
"Otro(a) no pariente (098)",91,1,37,36,6,5,6
