"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia SANTA CRUZ (000)",631,22,312,163,103,31
"Sin nivel (001)",50,3,14,6,16,11
"Educación inicial (002)",2,2,,,,
"Primaria (003)",276,16,103,69,69,19
"Secundaria (004)",258,1,173,71,13,
"Superior no univ. incompleta (005)",9,,3,4,2,
"Superior no univ. completa (006)",19,,7,9,3,
"Superior univ. incompleta (007)",7,,5,2,,
"Superior univ. completa (008)",10,,7,2,,1
"Hombres (010)",532,17,240,149,96,30
"Sin nivel (011)",38,2,9,5,12,10
"Educación inicial (012)",2,2,,,,
"Primaria (013)",240,12,78,65,66,19
"Secundaria (014)",221,1,141,66,13,
"Superior no univ. incompleta (015)",7,,2,3,2,
"Superior no univ. completa (016)",12,,1,8,3,
"Superior univ. incompleta (017)",6,,5,1,,
"Superior univ. completa (018)",6,,4,1,,1
"Mujeres (020)",99,5,72,14,7,1
"Sin nivel (021)",12,1,5,1,4,1
"Primaria (023)",36,4,25,4,3,
"Secundaria (024)",37,,32,5,,
"Superior no univ. incompleta (025)",2,,1,1,,
"Superior no univ. completa (026)",7,,6,1,,
"Superior univ. incompleta (027)",1,,,1,,
"Superior univ. completa (028)",4,,3,1,,
,,,,,,
"Area Urbana (030)",129,2,62,42,18,5
"Sin nivel (031)",5,,1,1,3,
"Primaria (033)",36,2,8,14,8,4
"Secundaria (034)",59,,36,18,5,
"Superior no univ. incompleta (035)",5,,3,1,1,
"Superior no univ. completa (036)",11,,5,5,1,
"Superior univ. incompleta (037)",6,,4,2,,
"Superior univ. completa (038)",7,,5,1,,1
"Hombres (040)",96,2,42,31,16,5
"Sin nivel (041)",3,,1,,2,
"Primaria (043)",29,2,5,11,7,4
"Secundaria (044)",47,,27,15,5,
"Superior no univ. incompleta (045)",3,,2,,1,
"Superior no univ. completa (046)",6,,1,4,1,
"Superior univ. incompleta (047)",5,,4,1,,
"Superior univ. completa (048)",3,,2,,,1
"Mujeres (050)",33,,20,11,2,
"Sin nivel (051)",2,,,1,1,
"Primaria (053)",7,,3,3,1,
"Secundaria (054)",12,,9,3,,
"Superior no univ. incompleta (055)",2,,1,1,,
"Superior no univ. completa (056)",5,,4,1,,
"Superior univ. incompleta (057)",1,,,1,,
"Superior univ. completa (058)",4,,3,1,,
,,,,,,
"Area Rural (060)",502,20,250,121,85,26
"Sin nivel (061)",45,3,13,5,13,11
"Educación inicial (062)",2,2,,,,
"Primaria (063)",240,14,95,55,61,15
"Secundaria (064)",199,1,137,53,8,
"Superior no univ. incompleta (065)",4,,,3,1,
"Superior no univ. completa (066)",8,,2,4,2,
"Superior univ. incompleta (067)",1,,1,,,
"Superior univ. completa (068)",3,,2,1,,
"Hombres (070)",436,15,198,118,80,25
"Sin nivel (071)",35,2,8,5,10,10
"Educación inicial (072)",2,2,,,,
"Primaria (073)",211,10,73,54,59,15
"Secundaria (074)",174,1,114,51,8,
"Superior no univ. incompleta (075)",4,,,3,1,
"Superior no univ. completa (076)",6,,,4,2,
"Superior univ. incompleta (077)",1,,1,,,
"Superior univ. completa (078)",3,,2,1,,
"Mujeres (080)",66,5,52,3,5,1
"Sin nivel (081)",10,1,5,,3,1
"Primaria (083)",29,4,22,1,2,
"Secundaria (084)",25,,23,2,,
"Superior no univ. completa (086)",2,,2,,,
