"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUALGAYOC (000)",1614,1327,287
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",36,36,
"Hospital, clinica (004)",63,63,
"Cárcel, centro de readaptación social (005)",29,29,
"Otro (008)",1340,1053,287
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",146,146,
