"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia GRAU (000)",6462,183,2843,1952,663,197,87,36,6,,495
"Sin Nivel (001)",2573,87,1088,812,263,75,52,22,6,,168
"Educación Inicial (002)",12,,7,5,,,,,,,
"Primaria (003)",1944,81,1049,496,132,50,20,7,,,109
"Secundaria (004)",1372,14,596,441,135,34,7,6,,,139
"Sup. no Univ. Incompleta (005)",128,1,34,57,20,2,1,,,,13
"Sup. no Univ. Completa (006)",304,,51,108,79,20,4,1,,,41
"Sup. Univ. Incompleta (007)",45,,9,21,7,2,,,,,6
"Sup. Univ. Completa (008)",84,,9,12,27,14,3,,,,19
,,,,,,,,,,,
"URBANA (010)",2572,40,1052,809,303,98,50,14,3,,203
"Sin Nivel (011)",679,18,259,224,68,24,28,6,3,,49
"Educación Inicial (012)",2,,1,1,,,,,,,
"Primaria (013)",688,17,372,176,51,24,14,3,,,31
"Secundaria (014)",732,5,330,243,70,19,1,4,,,60
"Sup. no Univ. Incompleta (015)",102,,31,47,15,1,,,,,8
"Sup. no Univ. Completa (016)",263,,42,90,72,19,4,1,,,35
"Sup. Univ. Incompleta (017)",38,,9,19,5,1,,,,,4
"Sup. Univ. Completa (018)",68,,8,9,22,10,3,,,,16
,,,,,,,,,,,
"RURAL (020)",3890,143,1791,1143,360,99,37,22,3,,292
"Sin Nivel (021)",1894,69,829,588,195,51,24,16,3,,119
"Educación Inicial (022)",10,,6,4,,,,,,,
"Primaria (023)",1256,64,677,320,81,26,6,4,,,78
"Secundaria (024)",640,9,266,198,65,15,6,2,,,79
"Sup. no Univ. Incompleta (025)",26,1,3,10,5,1,1,,,,5
"Sup. no Univ. Completa (026)",41,,9,18,7,1,,,,,6
"Sup. Univ. Incompleta (027)",7,,,2,2,1,,,,,2
"Sup. Univ. Completa (028)",16,,1,3,5,4,,,,,3
