"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia CAMANA (000)",35138,34230,908
"Hombres (001)",18545,18061,484
"Mujeres (002)",16593,16169,424
"De 18 a 29 años (003)",11374,10835,539
"Hombres (004)",5856,5540,316
"Mujeres (005)",5518,5295,223
"De 30 a 44 años (006)",11803,11698,105
"Hombres (007)",6206,6148,58
"Mujeres (008)",5597,5550,47
"De 45 a 64 años (009)",8729,8641,88
"Hombres (010)",4765,4722,43
"Mujeres (011)",3964,3919,45
"De 65 y más años (012)",3232,3056,176
"Hombres (013)",1718,1651,67
"Mujeres (014)",1514,1405,109
,,,
"URBANA (015)",29296,28591,705
"Hombres (016)",14835,14465,370
"Mujeres (017)",14461,14126,335
"De 18 a 29 años (018)",8894,8480,414
"Hombres (019)",4318,4070,248
"Mujeres (020)",4576,4410,166
"De 30 a 44 años (021)",9960,9877,83
"Hombres (022)",5012,4966,46
"Mujeres (023)",4948,4911,37
"De 45 a 64 años (024)",7602,7532,70
"Hombres (025)",4034,4004,30
"Mujeres (026)",3568,3528,40
"De 65 y más años (027)",2840,2702,138
"Hombres (028)",1471,1425,46
"Mujeres (029)",1369,1277,92
,,,
"RURAL (030)",5842,5639,203
"Hombres (031)",3710,3596,114
"Mujeres (032)",2132,2043,89
"De 18 a 29 años (033)",2480,2355,125
"Hombres (034)",1538,1470,68
"Mujeres (035)",942,885,57
"De 30 a 44 años (036)",1843,1821,22
"Hombres (037)",1194,1182,12
"Mujeres (038)",649,639,10
"De 45 a 64 años (039)",1127,1109,18
"Hombres (040)",731,718,13
"Mujeres (041)",396,391,5
"De 65 y más años (042)",392,354,38
"Hombres (043)",247,226,21
"Mujeres (044)",145,128,17
