"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUALLAGA (000)",8314,8161,2102,1148,1315,975,1178,704,404,335,153,23667
"De 12 a 14 años (001)",862,846,838,7,1,,,,,,16,9
"De 15 a 19 años (002)",1135,1105,821,233,46,4,1,,,,30,341
"De 20 a 24 años (003)",977,937,216,396,243,61,21,,,,40,1153
"De 25 a 29 años (004)",863,836,77,216,293,142,100,7,1,,27,1706
"De 30 a 34 años (005)",820,810,44,108,234,206,174,39,5,,10,2234
"De 35 a 39 años (006)",784,779,28,66,190,182,194,89,24,6,5,2689
"De 40 a 44 años (007)",670,662,18,44,126,136,172,115,37,14,8,2668
"De 45 a 49 años (008)",562,556,15,26,86,103,153,99,45,29,6,2519
"De 50 y más años (009)",1641,1630,45,52,96,141,363,355,292,286,11,10348
"PEA (010)",2080,2036,343,336,417,313,333,163,79,52,44,5873
"De 12 a 14 años (011)",65,62,60,2,,,,,,,3,2
"De 15 a 19 años (012)",198,195,140,47,8,,,,,,3,63
"De 20 a 24 años (013)",240,228,54,111,49,7,7,,,,12,258
"De 25 a 29 años (014)",231,219,32,60,70,29,24,3,1,,12,415
"De 30 a 34 años (015)",229,227,15,39,71,51,39,11,1,,2,577
"De 35 a 39 años (016)",272,269,16,24,75,71,58,22,2,1,3,812
"De 40 a 44 años (017)",263,259,6,19,72,58,62,28,11,3,4,911
"De 45 a 49 años (018)",209,206,8,17,39,42,54,31,10,5,3,796
"De 50 y más años (019)",373,371,12,17,33,55,89,68,54,43,2,2039
"Ocupada (020)",2031,1989,317,333,412,307,327,162,79,52,42,5809
"De 12 a 14 años (021)",58,55,53,2,,,,,,,3,2
"De 15 a 19 años (022)",185,182,127,47,8,,,,,,3,63
