"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia BELLAVISTA (000)",15880,15553,3841,2231,2382,1902,2361,1356,1480,327
"Católica (001)",10896,10661,2631,1590,1705,1334,1570,875,956,235
"Cristiana/Evangélica (002)",2947,2895,658,331,389,344,490,314,369,52
"Otra (003)",1023,1006,268,120,139,120,173,93,93,17
"Ninguna (004)",1014,991,284,190,149,104,128,74,62,23
,,,,,,,,,,
"URBANA (006)",9374,9199,2378,1357,1458,1177,1371,739,719,175
"Católica (007)",6938,6803,1764,1021,1122,883,991,514,508,135
"Cristiana/Evangélica (008)",1569,1548,363,199,219,198,255,154,160,21
"Otra (009)",388,379,107,41,52,48,70,31,30,9
"Ninguna (010)",479,469,144,96,65,48,55,40,21,10
,,,,,,,,,,
"RURAL (012)",6506,6354,1463,874,924,725,990,617,761,152
"Católica (013)",3958,3858,867,569,583,451,579,361,448,100
"Cristiana/Evangélica (014)",1378,1347,295,132,170,146,235,160,209,31
"Otra (015)",635,627,161,79,87,72,103,62,63,8
"Ninguna (016)",535,522,140,94,84,56,73,34,41,13
