"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia HUANCAYO (000)",189573,182487,63197,27529,26642,19215,23490,12640,9774,7086
"Católica (001)",158153,152160,52163,23572,22853,16145,19427,10267,7733,5993
"Cristiana/Evangélica (002)",25369,24541,8512,3070,3027,2541,3476,2077,1838,828
"Otra (003)",3606,3467,1337,500,471,379,421,211,148,139
"Ninguna (004)",2445,2319,1185,387,291,150,166,85,55,126
,,,,,,,,,,
"URBANA (006)",169381,162903,57115,25145,24360,17335,20434,10542,7972,6478
"Católica (007)",141559,136067,47158,21538,20979,14624,16946,8544,6278,5492
"Cristiana/Evangélica (008)",21972,21244,7499,2745,2647,2204,2925,1720,1504,728
"Otra (009)",3493,3357,1302,491,457,364,408,197,138,136
"Ninguna (010)",2357,2235,1156,371,277,143,155,81,52,122
,,,,,,,,,,
"RURAL (012)",20192,19584,6082,2384,2282,1880,3056,2098,1802,608
"Católica (013)",16594,16093,5005,2034,1874,1521,2481,1723,1455,501
"Cristiana/Evangélica (014)",3397,3297,1013,325,380,337,551,357,334,100
"Otra (015)",113,110,35,9,14,15,13,14,10,3
"Ninguna (016)",88,84,29,16,14,7,11,4,3,4
