"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia MARISCAL RAMON CASTILLA (000)",10874,2986,7888
"Casa independiente (001)",6522,2824,3698
"Departamento en edificio (002)",2,2,
"Vivienda en quinta (003)",119,119,
"Vivienda en casa de vecindad (004)",8,8,
"Choza o cabaña (005)",4187,,4187
"Vivienda improvisada (006)",25,25,
"Local no dest.para hab. humana (007)",8,6,2
"Otro tipo (008)",3,2,1
