"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia NAZCA (000)",24276,377,7473,9026,6327,1073
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",82,,3,35,40,4
"Profes., científicos e intelectuales (002)",1761,,293,907,532,29
"Técnicos de nivel medio y trab.asimilados (003)",1392,4,429,502,406,51
"Jefes y empleados de oficina (004)",1083,,411,397,269,6
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",3687,54,1138,1359,955,181
"Agricult.trabaj. calif. agrop. y pesqueros (006)",1690,5,316,583,595,191
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",3311,22,1020,1242,894,133
"Obreros construc., conf., papel, fab., instr. (008)",3134,4,979,1301,748,102
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",6341,263,2152,2105,1523,298
"Otra (010)",167,,39,89,39,
"Ocupación no especificada (011)",707,10,214,252,188,43
"Desocupado (012)",921,15,479,254,138,35
"Hombres (013)",16278,257,5029,5848,4338,806
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",53,,2,22,25,4
"Profes., científicos e intelectuales (015)",867,,136,403,309,19
"Técnicos de nivel medio y trab.asimilados (016)",971,3,278,331,313,46
"Jefes y empleados de oficina (017)",456,,136,166,148,6
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",1461,28,456,512,374,91
"Agricult.trabaj. calif. agrop. y pesqueros (019)",1399,4,263,463,503,166
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",3096,20,969,1169,816,122
"Obreros construc., conf., papel, fab., instr. (021)",3060,4,954,1273,728,101
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",3678,182,1344,1111,844,197
"Otra (023)",162,,39,85,38,
"Ocupación no especificada (024)",486,8,147,166,137,28
"Desocupado (025)",589,8,305,147,103,26
"Mujeres (026)",7998,120,2444,3178,1989,267
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",29,,1,13,15,
"Profes., científicos e intelectuales (028)",894,,157,504,223,10
"Técnicos de nivel medio y trab.asimilados (029)",421,1,151,171,93,5
"Jefes y empleados de oficina (030)",627,,275,231,121,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",2226,26,682,847,581,90
"Agricult.trabaj. calif. agrop. y pesqueros (032)",291,1,53,120,92,25
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",215,2,51,73,78,11
