"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia CANGALLO",,,,,,,,,
"Hogares (001)",9828,152,83,66,51,42,24,44,9366
"Ocupantes presentes (002)",34605,361,186,206,193,192,139,261,33067
"Casa independiente",,,,,,,,,
"Hogares (004)",9253,139,75,64,50,41,24,39,8821
"Ocupantes presentes (005)",32881,344,169,197,189,187,139,240,31416
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",37,1,1,1,,,,,34
"Ocupantes presentes (011)",90,1,1,6,,,,,82
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",47,1,2,,,,,3,41
"Ocupantes presentes (014)",158,1,4,,,,,9,144
"Choza o cabaña",,,,,,,,,
"Hogares (016)",485,11,5,1,1,1,,2,464
"Ocupantes presentes (017)",1457,15,12,3,4,5,,12,1406
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",6,,,,,,,,6
"Ocupantes presentes (023)",19,,,,,,,,19
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",3376,79,54,42,36,30,11,24,3100
"Ocupantes presentes (029)",11889,176,119,131,132,140,63,136,10992
"Casa independiente",,,,,,,,,
"Hogares (031)",3287,77,51,41,36,30,11,21,3020
"Ocupantes presentes (032)",11627,174,114,125,132,140,63,127,10752
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",37,1,1,1,,,,,34
"Ocupantes presentes (038)",90,1,1,6,,,,,82
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",47,1,2,,,,,3,41
"Ocupantes presentes (041)",158,1,4,,,,,9,144
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",5,,,,,,,,5
"Ocupantes presentes (050)",14,,,,,,,,14
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",6452,73,29,24,15,12,13,20,6266
"Ocupantes presentes (056)",22716,185,67,75,61,52,76,125,22075
"Casa independiente",,,,,,,,,
"Hogares (058)",5966,62,24,23,14,11,13,18,5801
"Ocupantes presentes (059)",21254,170,55,72,57,47,76,113,20664
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",485,11,5,1,1,1,,2,464
"Ocupantes presentes (071)",1457,15,12,3,4,5,,12,1406
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",1,,,,,,,,1
"Ocupantes presentes (077)",5,,,,,,,,5
"Otro tipo",,,,,,,,,
