"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia TACNA (000)",113415,37109,15251,49737,2988,4929,3401
"Conviviente (001)",32848,8006,5500,16299,820,1510,713
"Separado(a) (002)",7317,1765,938,4017,162,103,332
"Casado(a) (003)",34877,12488,3729,15468,1222,1589,381
"Viudo(a) (004)",2523,371,283,1632,104,60,73
"Divorciado(a) (005)",1206,501,92,523,49,14,27
"Soltero(a) (006)",34644,13978,4709,11798,631,1653,1875
"Hombres (008)",64855,19554,12724,28782,2022,1646,127
"Conviviente (009)",20248,4682,4612,10030,555,343,26
"Separado(a) (010)",2596,564,556,1366,74,32,4
"Casado(a) (011)",20970,7385,3191,9225,897,253,19
"Viudo(a) (012)",977,136,197,582,40,22,
"Divorciado(a) (013)",547,190,74,248,30,5,
"Soltero(a) (014)",19517,6597,4094,7331,426,991,78
"Mujeres (016)",48560,17555,2527,20955,966,3283,3274
"Conviviente (017)",12600,3324,888,6269,265,1167,687
"Separado(a) (018)",4721,1201,382,2651,88,71,328
"Casado(a) (019)",13907,5103,538,6243,325,1336,362
"Viudo(a) (020)",1546,235,86,1050,64,38,73
"Divorciado(a) (021)",659,311,18,275,19,9,27
"Soltero(a) (022)",15127,7381,615,4467,205,662,1797
,,,,,,,
"URBANA (024)",105033,36382,12533,46552,2479,3741,3346
"Conviviente (025)",30137,7795,4516,15235,690,1199,702
"Separado(a) (026)",6944,1743,805,3837,144,86,329
"Casado(a) (027)",32236,12274,3087,14304,973,1219,379
"Viudo(a) (028)",2215,362,224,1442,70,47,70
"Divorciado(a) (029)",1143,497,73,493,40,13,27
"Soltero(a) (030)",32358,13711,3828,11241,562,1177,1839
"Hombres (032)",59296,19104,10717,26550,1628,1176,121
"Conviviente (033)",18491,4546,3907,9270,454,288,26
"Separado(a) (034)",2393,556,469,1280,64,20,4
"Casado(a) (035)",19256,7241,2744,8355,683,214,19
"Viudo(a) (036)",832,134,163,494,26,15,
"Divorciado(a) (037)",503,187,59,228,25,4,
"Soltero(a) (038)",17821,6440,3375,6923,376,635,72
"Mujeres (040)",45737,17278,1816,20002,851,2565,3225
"Conviviente (041)",11646,3249,609,5965,236,911,676
"Separado(a) (042)",4551,1187,336,2557,80,66,325
"Casado(a) (043)",12980,5033,343,5949,290,1005,360
"Viudo(a) (044)",1383,228,61,948,44,32,70
"Divorciado(a) (045)",640,310,14,265,15,9,27
"Soltero(a) (046)",14537,7271,453,4318,186,542,1767
,,,,,,,
"RURAL (048)",8382,727,2718,3185,509,1188,55
"Conviviente (049)",2711,211,984,1064,130,311,11
"Separado(a) (050)",373,22,133,180,18,17,3
"Casado(a) (051)",2641,214,642,1164,249,370,2
"Viudo(a) (052)",308,9,59,190,34,13,3
"Divorciado(a) (053)",63,4,19,30,9,1,
"Soltero(a) (054)",2286,267,881,557,69,476,36
"Hombres (056)",5559,450,2007,2232,394,470,6
"Conviviente (057)",1757,136,705,760,101,55,
"Separado(a) (058)",203,8,87,86,10,12,
"Casado(a) (059)",1714,144,447,870,214,39,
"Viudo(a) (060)",145,2,34,88,14,7,
"Divorciado(a) (061)",44,3,15,20,5,1,
"Soltero(a) (062)",1696,157,719,408,50,356,6
"Mujeres (064)",2823,277,711,953,115,718,49
"Conviviente (065)",954,75,279,304,29,256,11
"Separado(a) (066)",170,14,46,94,8,5,3
"Casado(a) (067)",927,70,195,294,35,331,2
"Viudo(a) (068)",163,7,25,102,20,6,3
"Divorciado(a) (069)",19,1,4,10,4,,
"Soltero(a) (070)",590,110,162,149,19,120,30
