"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia AYABACA (000)",138403,46211,4610,1320,86352
"Menos de 1 año (001)",3393,2446,82,17,848
"De 1 a 14 años (002)",53163,34103,1636,376,17078
"De 15 a 29 años (003)",31814,5656,671,361,25141
"De 30 a 44 años (004)",22089,2385,1228,273,18224
"De 45 a 64 años (005)",18490,1248,795,203,16263
"De 65 y mas años (006)",9454,373,198,90,8798
"Hombres (008)",70777,22603,2218,759,45247
"Menos de 1 año (009)",1710,1224,49,9,428
"De 1 a 14 años (010)",27035,17425,791,168,8662
"De 15 a 29 años (011)",16756,2393,313,239,13818
"De 30 a 44 años (012)",11025,791,530,168,9551
"De 45 a 64 años (013)",9334,565,425,125,8233
"De 65 y mas años (014)",4917,205,110,50,4555
"Mujeres (016)",67626,23608,2392,561,41105
"Menos de 1 año (017)",1683,1222,33,8,420
"De 1 a 14 años (018)",26128,16678,845,208,8416
"De 15 a 29 años (019)",15058,3263,358,122,11323
"De 30 a 44 años (020)",11064,1594,698,105,8673
"De 45 a 64 años (021)",9156,683,370,78,8030
"De 65 y mas años (022)",4537,168,88,40,4243
,,,,,
"URBANA (024)",15845,3330,3023,797,8748
"Menos de 1 año (025)",293,169,44,5,75
"De 1 a 14 años (026)",4574,2050,998,159,1377
"De 15 a 29 años (027)",4104,602,433,270,2808
"De 30 a 44 años (028)",3215,234,806,181,2012
"De 45 a 64 años (029)",2510,198,599,130,1596
"De 65 y mas años (030)",1149,77,143,52,880
"Hombres (032)",7888,1564,1445,506,4401
"Menos de 1 año (033)",152,90,24,3,35
"De 1 a 14 años (034)",2251,1010,496,79,668
"De 15 a 29 años (035)",2052,250,203,197,1405
"De 30 a 44 años (036)",1583,87,334,119,1055
"De 45 a 64 años (037)",1268,87,315,81,794
"De 65 y mas años (038)",582,40,73,27,444
"Mujeres (040)",7957,1766,1578,291,4347
"Menos de 1 año (041)",141,79,20,2,40
"De 1 a 14 años (042)",2323,1040,502,80,709
"De 15 a 29 años (043)",2052,352,230,73,1403
"De 30 a 44 años (044)",1632,147,472,62,957
"De 45 a 64 años (045)",1242,111,284,49,802
"De 65 y mas años (046)",567,37,70,25,436
,,,,,
"RURAL (048)",122558,42881,1587,523,77604
"Menos de 1 año (049)",3100,2277,38,12,773
"De 1 a 14 años (050)",48589,32053,638,217,15701
"De 15 a 29 años (051)",27710,5054,238,91,22333
"De 30 a 44 años (052)",18874,2151,422,92,16212
"De 45 a 64 años (053)",15980,1050,196,73,14667
"De 65 y mas años (054)",8305,296,55,38,7918
"Hombres (056)",62889,21039,773,253,40846
"Menos de 1 año (057)",1558,1134,25,6,393
"De 1 a 14 años (058)",24784,16415,295,89,7994
"De 15 a 29 años (059)",14704,2143,110,42,12413
"De 30 a 44 años (060)",9442,704,196,49,8496
"De 45 a 64 años (061)",8066,478,110,44,7439
"De 65 y mas años (062)",4335,165,37,23,4111
"Mujeres (064)",59669,21842,814,270,36758
"Menos de 1 año (065)",1542,1143,13,6,380
"De 1 a 14 años (066)",23805,15638,343,128,7707
"De 15 a 29 años (067)",13006,2911,128,49,9920
"De 30 a 44 años (068)",9432,1447,226,43,7716
"De 45 a 64 años (069)",7914,572,86,29,7228
"De 65 y mas años (070)",3970,131,18,15,3807
