"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUALLAGA (000)",6212,169,3167,1650,447,140,88,25,2,,524
"Catolica (001)",4505,104,2187,1252,359,117,67,20,2,,397
"Cristiana / Evangelica (002)",1200,46,682,291,65,19,15,2,,,80
"Otra (003)",273,9,151,68,14,2,5,1,,,23
"Ninguna (004)",234,10,147,39,9,2,1,2,,,24
,,,,,,,,,,,
"URBANA (006)",3741,82,1755,1077,327,110,54,18,2,,316
"Catolica (007)",2929,56,1320,863,278,96,47,16,2,,251
"Cristiana / Evangelica (008)",580,21,310,158,34,11,5,1,,,40
"Otra (009)",126,2,59,40,10,2,2,,,,11
"Ninguna (010)",106,3,66,16,5,1,,1,,,14
,,,,,,,,,,,
"RURAL (012)",2471,87,1412,573,120,30,34,7,,,208
"Catolica (013)",1576,48,867,389,81,21,20,4,,,146
"Cristiana / Evangelica (014)",620,25,372,133,31,8,10,1,,,40
"Otra (015)",147,7,92,28,4,,3,1,,,12
"Ninguna (016)",128,7,81,23,4,1,1,1,,,10
