"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia PALLASCA (000)",559,195,364
"De 14 a 29 años (001)",281,140,141
"De 30 a 44 años (002)",162,45,117
"De 45 a 64 años (003)",96,10,86
"De 65 y más años (004)",20,,20
"Hombres (005)",452,151,301
"De 14 a 29 años (006)",200,100,100
"De 30 a 44 años (007)",144,41,103
"De 45 a 64 años (008)",90,10,80
"De 65 y más años (009)",18,,18
"Mujeres (010)",107,44,63
"De 14 a 29 años (011)",81,40,41
"De 30 a 44 años (012)",18,4,14
"De 45 a 64 años (013)",6,,6
"De 65 y más años (014)",2,,2
,,,
"AREA URBANA (015)",306,86,220
"De 14 a 29 años (016)",155,60,95
"De 30 a 44 años (017)",85,20,65
"De 45 a 64 años (018)",54,6,48
"De 65 y más años (019)",12,,12
"Hombres (020)",245,68,177
"De 14 a 29 años (021)",113,46,67
"De 30 a 44 años (022)",70,16,54
"De 45 a 64 años (023)",50,6,44
"De 65 y más años (024)",12,,12
"Mujeres (025)",61,18,43
"De 14 a 29 años (026)",42,14,28
"De 30 a 44 años (027)",15,4,11
"De 45 a 64 años (028)",4,,4
,,,
"AREA RURAL (030)",253,109,144
"De 14 a 29 años (031)",126,80,46
"De 30 a 44 años (032)",77,25,52
"De 45 a 64 años (033)",42,4,38
"De 65 y más años (034)",8,,8
"Hombres (035)",207,83,124
"De 14 a 29 años (036)",87,54,33
"De 30 a 44 años (037)",74,25,49
"De 45 a 64 años (038)",40,4,36
"De 65 y más años (039)",6,,6
"Mujeres (040)",46,26,20
"De 14 a 29 años (041)",39,26,13
"De 30 a 44 años (042)",3,,3
"De 45 a 64 años (043)",2,,2
"De 65 y más años (044)",2,,2
