"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CHUMBIVILCAS (000)",18283,230,7379,6051,1701,472,206,88,9,,2147
"Sin Nivel (001)",7981,127,3125,2645,860,271,116,65,8,,764
"Educación Inicial (002)",27,,16,4,1,,,,,,6
"Primaria (003)",7268,87,3302,2400,498,119,63,17,1,,781
"Secundaria (004)",2298,14,857,789,181,27,9,2,,,419
"Sup. no Univ. Incompleta (005)",145,,19,59,24,5,1,,,,37
"Sup. no Univ. Completa (006)",290,2,32,81,77,22,9,2,,,65
"Sup. Univ. Incompleta (007)",59,,9,24,10,3,1,,,,12
"Sup. Univ. Completa (008)",215,,19,49,50,25,7,2,,,63
,,,,,,,,,,,
"URBANA (010)",4288,58,1562,1349,431,143,66,33,2,,644
"Sin Nivel (011)",1123,30,433,306,101,45,30,19,1,,158
"Educación Inicial (012)",7,,3,,,,,,,,4
"Primaria (013)",1549,20,686,482,118,39,15,9,1,,179
"Secundaria (014)",1031,7,372,384,84,12,6,2,,,164
"Sup. no Univ. Incompleta (015)",99,,17,45,14,2,1,,,,20
"Sup. no Univ. Completa (016)",247,1,27,68,64,21,8,2,,,56
"Sup. Univ. Incompleta (017)",48,,6,21,7,3,1,,,,10
"Sup. Univ. Completa (018)",184,,18,43,43,21,5,1,,,53
,,,,,,,,,,,
"RURAL (020)",13995,172,5817,4702,1270,329,140,55,7,,1503
"Sin Nivel (021)",6858,97,2692,2339,759,226,86,46,7,,606
"Educación Inicial (022)",20,,13,4,1,,,,,,2
"Primaria (023)",5719,67,2616,1918,380,80,48,8,,,602
"Secundaria (024)",1267,7,485,405,97,15,3,,,,255
"Sup. no Univ. Incompleta (025)",46,,2,14,10,3,,,,,17
"Sup. no Univ. Completa (026)",43,1,5,13,13,1,1,,,,9
"Sup. Univ. Incompleta (027)",11,,3,3,3,,,,,,2
"Sup. Univ. Completa (028)",31,,1,6,7,4,2,1,,,10
