"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia TALARA (000)",54397,7499,14091,13583,19224
"Asiste actualmente (001)",36039,4916,13659,11934,5530
"No asiste (002)",18358,2583,432,1649,13694
"Hombres (004)",27579,3821,7112,6906,9740
"Asiste actualmente (005)",18317,2500,6895,6079,2843
"No asiste (006)",9262,1321,217,827,6897
"Mujeres (008)",26818,3678,6979,6677,9484
"Asiste actualmente (009)",17722,2416,6764,5855,2687
"No asiste (010)",9096,1262,215,822,6797
,,,,,
"URBANA (012)",53325,7350,13838,13360,18777
"Asiste actualmente (013)",35510,4805,13421,11803,5481
"No asiste (014)",17815,2545,417,1557,13296
"Hombres (016)",27014,3748,6985,6784,9497
"Asiste actualmente (017)",18043,2442,6776,6005,2820
"No asiste (018)",8971,1306,209,779,6677
"Mujeres (020)",26311,3602,6853,6576,9280
"Asiste actualmente (021)",17467,2363,6645,5798,2661
"No asiste (022)",8844,1239,208,778,6619
,,,,,
"RURAL (024)",1072,149,253,223,447
"Asiste actualmente (025)",529,111,238,131,49
"No asiste (026)",543,38,15,92,398
"Hombres (028)",565,73,127,122,243
"Asiste actualmente (029)",274,58,119,74,23
"No asiste (030)",291,15,8,48,220
"Mujeres (032)",507,76,126,101,204
"Asiste actualmente (033)",255,53,119,57,26
"No asiste (034)",252,23,7,44,178
