"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia TAMBOPATA (000)",48221,45793,2428
"Hombres (001)",26149,24863,1286
"Mujeres (002)",22072,20930,1142
"De 18 a 29 años (003)",19468,17794,1674
"Hombres (004)",9854,8953,901
"Mujeres (005)",9614,8841,773
"De 30 a 44 años (006)",16899,16535,364
"Hombres (007)",9092,8897,195
"Mujeres (008)",7807,7638,169
"De 45 a 64 años (009)",9673,9435,238
"Hombres (010)",5893,5772,121
"Mujeres (011)",3780,3663,117
"De 65 y más años (012)",2181,2029,152
"Hombres (013)",1310,1241,69
"Mujeres (014)",871,788,83
,,,
"URBANA (015)",39805,37986,1819
"Hombres (016)",20800,19859,941
"Mujeres (017)",19005,18127,878
"De 18 a 29 años (018)",16137,14882,1255
"Hombres (019)",7880,7215,665
"Mujeres (020)",8257,7667,590
"De 30 a 44 años (021)",14130,13857,273
"Hombres (022)",7318,7174,144
"Mujeres (023)",6812,6683,129
"De 45 a 64 años (024)",7932,7752,180
"Hombres (025)",4696,4605,91
"Mujeres (026)",3236,3147,89
"De 65 y más años (027)",1606,1495,111
"Hombres (028)",906,865,41
"Mujeres (029)",700,630,70
,,,
"RURAL (030)",8416,7807,609
"Hombres (031)",5349,5004,345
"Mujeres (032)",3067,2803,264
"De 18 a 29 años (033)",3331,2912,419
"Hombres (034)",1974,1738,236
"Mujeres (035)",1357,1174,183
"De 30 a 44 años (036)",2769,2678,91
"Hombres (037)",1774,1723,51
"Mujeres (038)",995,955,40
"De 45 a 64 años (039)",1741,1683,58
"Hombres (040)",1197,1167,30
"Mujeres (041)",544,516,28
"De 65 y más años (042)",575,534,41
"Hombres (043)",404,376,28
"Mujeres (044)",171,158,13
