"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia ASCOPE",,,,,,,,,
"Viviendas particulares (001)",8905,4776,2024,304,368,21,182,31,1199
"Ocupantes presentes (002)",38257,19993,8635,1377,1675,72,805,135,5565
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",8683,4608,2002,299,366,20,175,31,1182
"Ocupantes presentes (005)",37464,19416,8557,1356,1668,67,777,135,5488
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",24,12,1,3,,,4,,4
"Ocupantes presentes (008)",90,37,6,15,,,13,,19
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",54,39,12,,,,,,3
"Ocupantes presentes (011)",172,123,37,,,,,,12
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",54,27,9,2,2,1,3,,10
"Ocupantes presentes (014)",183,69,35,6,7,5,15,,46
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",1,1,,,,,,,
"Ocupantes presentes (017)",5,5,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",84,84,,,,,,,
"Ocupantes presentes (020)",328,328,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",5,5,,,,,,,
"Ocupantes presentes (023)",15,15,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",8499,4515,1972,302,347,21,182,28,1132
"Ocupantes presentes (029)",36536,18863,8464,1369,1590,72,805,115,5258
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",8278,4348,1950,297,345,20,175,28,1115
"Ocupantes presentes (032)",35748,18291,8386,1348,1583,67,777,115,5181
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",24,12,1,3,,,4,,4
"Ocupantes presentes (035)",90,37,6,15,,,13,,19
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",54,39,12,,,,,,3
"Ocupantes presentes (038)",172,123,37,,,,,,12
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",54,27,9,2,2,1,3,,10
"Ocupantes presentes (041)",183,69,35,6,7,5,15,,46
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",84,84,,,,,,,
"Ocupantes presentes (047)",328,328,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",5,5,,,,,,,
"Ocupantes presentes (050)",15,15,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",406,261,52,2,21,,,3,67
"Ocupantes presentes (056)",1721,1130,171,8,85,,,20,307
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",405,260,52,2,21,,,3,67
"Ocupantes presentes (059)",1716,1125,171,8,85,,,20,307
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",1,1,,,,,,,
"Ocupantes presentes (071)",5,5,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
