"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CASTROVIRREYNA (000)",6492,369,3,2117,2520,279,569,129,506
"Empleado (001)",1124,2,,17,205,81,344,63,412
"Obrero (002)",1625,39,1,395,931,72,111,34,42
"Trabajador independiente (003)",2755,227,,1232,1030,104,95,27,40
"Empleador o patrono (004)",32,2,,5,14,2,4,1,4
"Trabajador familiar no remunerado (005)",906,96,2,455,310,18,14,4,7
"Trabajador del hogar (006)",50,3,,13,30,2,1,,1
"Hombres (008)",4531,111,2,1371,1995,229,375,106,342
"Empleado (009)",698,,,5,129,61,195,44,264
"Obrero (010)",1489,23,1,333,892,66,100,33,41
"Trabajador independiente (011)",1944,70,,874,789,89,70,24,28
"Empleador o patrono (012)",21,1,,3,8,2,2,1,4
"Trabajador familiar no remunerado (013)",370,17,1,152,173,11,8,4,4
"Trabajador del hogar (014)",9,,,4,4,,,,1
"Mujeres (016)",1961,258,1,746,525,50,194,23,164
"Empleado (017)",426,2,,12,76,20,149,19,148
"Obrero (018)",136,16,,62,39,6,11,1,1
"Trabajador independiente (019)",811,157,,358,241,15,25,3,12
"Empleador o patrono (020)",11,1,,2,6,,2,,
"Trabajador familiar no remunerado (021)",536,79,1,303,137,7,6,,3
"Trabajador del hogar (022)",41,3,,9,26,2,1,,
,,,,,,,,,
"URBANA (024)",2630,58,1,517,1088,163,361,75,367
"Empleado (025)",803,1,,7,142,55,241,43,314
"Obrero (026)",884,13,1,188,534,51,60,16,21
"Trabajador independiente (027)",710,34,,228,308,45,50,15,30
"Empleador o patrono (028)",12,1,,1,6,1,2,,1
"Trabajador familiar no remunerado (029)",182,6,,83,76,9,7,1,
"Trabajador del hogar (030)",39,3,,10,22,2,1,,1
"Hombres (032)",1854,20,1,344,858,125,212,60,234
"Empleado (033)",480,,,1,93,37,126,30,193
"Obrero (034)",829,11,1,167,517,46,52,15,20
"Trabajador independiente (035)",452,8,,143,205,35,28,14,19
"Empleador o patrono (036)",7,,,,4,1,1,,1
"Trabajador familiar no remunerado (037)",81,1,,31,37,6,5,1,
"Trabajador del hogar (038)",5,,,2,2,,,,1
"Mujeres (040)",776,38,,173,230,38,149,15,133
"Empleado (041)",323,1,,6,49,18,115,13,121
"Obrero (042)",55,2,,21,17,5,8,1,1
"Trabajador independiente (043)",258,26,,85,103,10,22,1,11
"Empleador o patrono (044)",5,1,,1,2,,1,,
"Trabajador familiar no remunerado (045)",101,5,,52,39,3,2,,
"Trabajador del hogar (046)",34,3,,8,20,2,1,,
,,,,,,,,,
"RURAL (048)",3862,311,2,1600,1432,116,208,54,139
"Empleado (049)",321,1,,10,63,26,103,20,98
"Obrero (050)",741,26,,207,397,21,51,18,21
"Trabajador independiente (051)",2045,193,,1004,722,59,45,12,10
"Empleador o patrono (052)",20,1,,4,8,1,2,1,3
"Trabajador familiar no remunerado (053)",724,90,2,372,234,9,7,3,7
"Trabajador del hogar (054)",11,,,3,8,,,,
"Hombres (056)",2677,91,1,1027,1137,104,163,46,108
"Empleado (057)",218,,,4,36,24,69,14,71
"Obrero (058)",660,12,,166,375,20,48,18,21
"Trabajador independiente (059)",1492,62,,731,584,54,42,10,9
"Empleador o patrono (060)",14,1,,3,4,1,1,1,3
"Trabajador familiar no remunerado (061)",289,16,1,121,136,5,3,3,4
"Trabajador del hogar (062)",4,,,2,2,,,,
"Mujeres (064)",1185,220,1,573,295,12,45,8,31
"Empleado (065)",103,1,,6,27,2,34,6,27
"Obrero (066)",81,14,,41,22,1,3,,
"Trabajador independiente (067)",553,131,,273,138,5,3,2,1
"Empleador o patrono (068)",6,,,1,4,,1,,
"Trabajador familiar no remunerado (069)",435,74,1,251,98,4,4,,3
"Trabajador del hogar (070)",7,,,1,6,,,,
