"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia JAUJA",,,,,,,,,
"Hogares (001)",24014,764,299,177,116,77,48,83,22450
"Ocupantes presentes (002)",91508,2556,978,560,396,317,213,377,86111
"Casa independiente",,,,,,,,,
"Hogares (004)",23068,744,291,173,111,75,47,82,21545
"Ocupantes presentes (005)",88468,2499,950,552,376,307,208,370,83206
"Departamento en edificio",,,,,,,,,
"Hogares (007)",41,3,2,1,,,1,,34
"Ocupantes presentes (008)",143,9,5,1,,,5,,123
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",183,4,1,1,1,1,,,175
"Ocupantes presentes (011)",685,20,6,3,4,5,,,647
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",291,6,3,1,3,,,,278
"Ocupantes presentes (014)",1044,16,11,1,11,,,,1005
"Choza o cabaña",,,,,,,,,
"Hogares (016)",398,6,2,1,1,1,,1,386
"Ocupantes presentes (017)",1083,11,6,3,5,5,,7,1046
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",6,,,,,,,,6
"Ocupantes presentes (020)",20,,,,,,,,20
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",25,1,,,,,,,24
"Ocupantes presentes (023)",59,1,,,,,,,58
"Otro tipo",,,,,,,,,
"Hogares (025)",2,,,,,,,,2
"Ocupantes presentes (026)",6,,,,,,,,6
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",16837,626,244,151,96,61,40,65,15554
"Ocupantes presentes (029)",63443,2062,786,478,328,250,182,273,59084
"Casa independiente",,,,,,,,,
"Hogares (031)",16292,612,238,148,92,60,39,65,15038
"Ocupantes presentes (032)",61493,2016,764,473,313,245,177,273,57232
"Departamento en edificio",,,,,,,,,
"Hogares (034)",41,3,2,1,,,1,,34
"Ocupantes presentes (035)",143,9,5,1,,,5,,123
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",183,4,1,1,1,1,,,175
"Ocupantes presentes (038)",685,20,6,3,4,5,,,647
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",291,6,3,1,3,,,,278
"Ocupantes presentes (041)",1044,16,11,1,11,,,,1005
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",6,,,,,,,,6
"Ocupantes presentes (047)",20,,,,,,,,20
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",23,1,,,,,,,22
"Ocupantes presentes (050)",54,1,,,,,,,53
"Otro tipo",,,,,,,,,
"Hogares (052)",1,,,,,,,,1
"Ocupantes presentes (053)",4,,,,,,,,4
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",7177,138,55,26,20,16,8,18,6896
"Ocupantes presentes (056)",28065,494,192,82,68,67,31,104,27027
"Casa independiente",,,,,,,,,
"Hogares (058)",6776,132,53,25,19,15,8,17,6507
"Ocupantes presentes (059)",26975,483,186,79,63,62,31,97,25974
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",398,6,2,1,1,1,,1,386
"Ocupantes presentes (071)",1083,11,6,3,5,5,,7,1046
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",2,,,,,,,,2
"Ocupantes presentes (077)",5,,,,,,,,5
"Otro tipo",,,,,,,,,
"Hogares (079)",1,,,,,,,,1
"Ocupantes presentes (080)",2,,,,,,,,2
